url	parent	ps	ns	text
https://global.uconn.edu	a			Skip to Navigation
https://global.uconn.edu	a			Skip to UConn Search
https://global.uconn.edu	a			Skip to Content
https://global.uconn.edu	p		a	Our websites may use cookies to personalize and enhance your experience. By continuing without changing your cookie settings, you agree to this collection. For more information, please see our 
https://global.uconn.edu	a			University Websites Privacy Notice
https://global.uconn.edu	span			UConn
https://global.uconn.edu	span			University of Connecticut
https://global.uconn.edu	span			Search University of Connecticut
https://global.uconn.edu	span			A to Z Index
https://global.uconn.edu	a			Global Affairs
https://global.uconn.edu	legend			Search this Site
https://global.uconn.edu	label	legend		Search in https://global.uconn.edu/>
https://global.uconn.edu	span	i		Search
https://global.uconn.edu	span			Toggle navigation
https://global.uconn.edu	span			Menu
https://global.uconn.edu	a			       Skip to content
https://global.uconn.edu	a			Home
https://global.uconn.edu	a		b	About
https://global.uconn.edu	a			Who We Are
https://global.uconn.edu	a			Mission & Strategic Objectives
https://global.uconn.edu	a			Contact & Directions
https://global.uconn.edu	a		b	Travel Information
https://global.uconn.edu	a			International Travel Information
https://global.uconn.edu	a			UConn Travel Services
https://global.uconn.edu	a			US Dept of State Travel Information
https://global.uconn.edu	a			US Smart Traveler Enrollment Program
https://global.uconn.edu	a			University Institutes & Centers
https://global.uconn.edu	a			News & Announcements
https://global.uconn.edu	a			Events
https://global.uconn.edu	span			We are inquisitive.
https://global.uconn.edu	span			 We are innovative.
https://global.uconn.edu	span			 We are driven.
https://global.uconn.edu	span			 We are optimistic.
https://global.uconn.edu	span			We are
https://global.uconn.edu	em			global
https://global.uconn.edu	big			HUMAN RIGHTS @ UCONN
https://global.uconn.edu	a			Human Rights Institute
https://global.uconn.edu	a			Thomas J. Dodd Research Center
https://global.uconn.edu	big			INTERNATIONAL STUDIES ASSOCIATION
https://global.uconn.edu	big			SPECIAL INITIATIVES
https://global.uconn.edu	a			Abrahamic Programs
https://global.uconn.edu	a			Baden-Württemberg Exchange
https://global.uconn.edu	a			Cuba
https://global.uconn.edu	a			Democracy & Dialogues
https://global.uconn.edu	a			Jewish Hartford: European Roots
https://global.uconn.edu	a			Metabolic Research Alliance
https://global.uconn.edu	a			Middle East Studies
https://global.uconn.edu	a			Norian Armenian Programs
https://global.uconn.edu	a			Technion Clean Energy Initiative
https://global.uconn.edu	big			NEWS
https://global.uconn.edu	span			 2019 Fall – Worldfest Celebration
https://global.uconn.edu	div	a		2019 WORLDFEST GOES GREEN Written and filmed by Nicholas Hampton, Multimedia Project Specialist November 20, 2019 With 195 countries, the world can feel like a pretty big place and with over 30 thousand students, so can the University of Connecticut. Worldfest is a place where students, faculty, and local residents can make the world and […]
https://global.uconn.edu	span			Posted on 
https://global.uconn.edu	span	div		November 20, 2019
https://global.uconn.edu	span			 Fall 2019 – UConn and Brown Partner for YSEALI
https://global.uconn.edu	div	a		UConn partnered with Brown University to host a ninth group of Young Southeast Asian Leadership Initiative fellows. YSEALI was launched by President Obama to develop a network with emerging international leaders.
https://global.uconn.edu	span			 Fall 2019 – Avery Point Global Cafe
https://global.uconn.edu	div	a		Trust in the American government is lacking, students and staff sat down at Avery Point to discuss what to do about it. The Avery Point Global Cafe hosted their tenth year of deliberating discussions.
https://global.uconn.edu	span	div		October 25, 2019
https://global.uconn.edu	big			UCONN TODAY
https://global.uconn.edu	a			UConn Today – #Global
https://global.uconn.edu	a			Study: When More Pain Means More Gain
https://global.uconn.edu	span			September 3, 2019
https://global.uconn.edu	div	span		Researchers found positive psychological outcomes and increased well-being in participants who performed an extreme annual ritual as part of a national celebration.
https://global.uconn.edu	cite			Elaina Hancock
https://global.uconn.edu	a			Snapshot: Elic Weitzel in Kosovo
https://global.uconn.edu	span			June 28, 2019
https://global.uconn.edu	div	span		A UConn graduate student in archaeology just returned from a research trip to Kosovo, where he is helping collect and identify artifacts to help understand the history of the region.
https://global.uconn.edu	a			Education Abroad: Drew-Asia Keating ’20, London, England
https://global.uconn.edu	span			April 24, 2019
https://global.uconn.edu	div	span		First-generation college student Drew Asia-Keating '20 (CLAS) says her Education Abroad experience in London took her out of her comfort zone.
https://global.uconn.edu	cite			Mike Enright '88 (CLAS), University Communications
https://global.uconn.edu	a			Education Abroad: Luis Rivera ’19, Prague, Czech Republic
https://global.uconn.edu	span			April 19, 2019
https://global.uconn.edu	div	span		Accounting major Luis Rivera '19 (BUS) says his Education Abroad experience in Prague, Czech Republic, helped him grow as a person.
https://global.uconn.edu	a			Education Abroad: Omaniel Ortiz ’20, London, England
https://global.uconn.edu	span			April 11, 2019
