url	parent	ps	ns	text
https://harvard.edu/#bookmark_G	a			       Jump to main content     
https://harvard.edu/#bookmark_G	a			       Jump to search     
https://harvard.edu/#bookmark_G	a			       Jump to the footer     
https://harvard.edu/#bookmark_G	span			         Harvard University       
https://harvard.edu/#bookmark_G	a			     Menu   
https://harvard.edu/#bookmark_G	a		span	                 About                 
https://harvard.edu/#bookmark_G	span			                   Harvard                 
https://harvard.edu/#bookmark_G	a			Harvard at a Glance
https://harvard.edu/#bookmark_G	a			Harvard's President
https://harvard.edu/#bookmark_G	a			Harvard's Leadership
https://harvard.edu/#bookmark_G	a			Academic Experience
https://harvard.edu/#bookmark_G	a			Administrative Offices
https://harvard.edu/#bookmark_G	a			Directories
https://harvard.edu/#bookmark_G	a			Harvard in the Community
https://harvard.edu/#bookmark_G	a			News
https://harvard.edu/#bookmark_G	a		span	                 Admissions                 
https://harvard.edu/#bookmark_G	span			                   & Aid                 
https://harvard.edu/#bookmark_G	a			Undergraduate
https://harvard.edu/#bookmark_G	a			Graduate & Professional Schools
https://harvard.edu/#bookmark_G	a			Continuing Education
https://harvard.edu/#bookmark_G	a			Summer Programs
https://harvard.edu/#bookmark_G	a			                 Schools               
https://harvard.edu/#bookmark_G	a			Business
https://harvard.edu/#bookmark_G	a			College
https://harvard.edu/#bookmark_G	a			Continuing Education
https://harvard.edu/#bookmark_G	a			Dental
https://harvard.edu/#bookmark_G	a			Design
https://harvard.edu/#bookmark_G	a			Divinity
https://harvard.edu/#bookmark_G	a			Education
https://harvard.edu/#bookmark_G	a			Engineering
https://harvard.edu/#bookmark_G	a			Faculty of Arts & Sciences
https://harvard.edu/#bookmark_G	a			Government
https://harvard.edu/#bookmark_G	a			Graduate School
https://harvard.edu/#bookmark_G	a			Law
https://harvard.edu/#bookmark_G	a			Medical
https://harvard.edu/#bookmark_G	a			Public Health
https://harvard.edu/#bookmark_G	a			Radcliffe Institute
https://harvard.edu/#bookmark_G	a			                 On Campus               
https://harvard.edu/#bookmark_G	a			Arts and Humanities
