url	parent	ps	ns	text
http://athletics.nyack.edu	a			Nyack College
http://athletics.nyack.edu	span			Composite
http://athletics.nyack.edu	span			Search
http://athletics.nyack.edu	span			Menu
http://athletics.nyack.edu	span	i		Search
http://athletics.nyack.edu	div			Site Navigation
http://athletics.nyack.edu	a			Sports
http://athletics.nyack.edu	a			Men's Sports
http://athletics.nyack.edu	a			Baseball
http://athletics.nyack.edu	a			SCHEDULE
http://athletics.nyack.edu	a			ROSTER
http://athletics.nyack.edu	a			NEWS
http://athletics.nyack.edu	a			Facebook
http://athletics.nyack.edu	a			Instagram
http://athletics.nyack.edu	a			Twitter
http://athletics.nyack.edu	a			YouTube
http://athletics.nyack.edu	a			Basketball
http://athletics.nyack.edu	a			Youtube
http://athletics.nyack.edu	a			Cross Country
http://athletics.nyack.edu	a			Soccer
http://athletics.nyack.edu	a			Track
http://athletics.nyack.edu	a			Track & Field
http://athletics.nyack.edu	a			Women's Sports
http://athletics.nyack.edu	a			Lacrosse
http://athletics.nyack.edu	a			Softball
http://athletics.nyack.edu	a			Volleyball
http://athletics.nyack.edu	a			Inside Athletics
http://athletics.nyack.edu	a			ABOUT NYACK ATHLETICS
http://athletics.nyack.edu	a			ATHLETIC COMMUNICATION
http://athletics.nyack.edu	a			ATHLETICS STAFF DIRECTORY
http://athletics.nyack.edu	a			COMPLIANCE
http://athletics.nyack.edu	a			FACULTY ATHLETICS REPRESENTATIVE (FAR)
http://athletics.nyack.edu	a			NCAA D2
http://athletics.nyack.edu	a			SPORTS MEDICINE
http://athletics.nyack.edu	a			SPORTS MEDICINE FORMS
http://athletics.nyack.edu	a			VISITING TEAM INFO
http://athletics.nyack.edu	a			Recruiting
http://athletics.nyack.edu	a			ADMISSIONS ONLINE APPLICATION
http://athletics.nyack.edu	a			CONTACT A COACH
http://athletics.nyack.edu	a			FINANCIAL AID
http://athletics.nyack.edu	a			NCAA ELIGIBILITY CENTER
http://athletics.nyack.edu	a			RECRUIT QUESTIONNAIRE
http://athletics.nyack.edu	a			TRY-OUT INFORMATION
http://athletics.nyack.edu	a			Fan Zone
http://athletics.nyack.edu	a			CACC NETWORK
http://athletics.nyack.edu	a			CALENDAR
http://athletics.nyack.edu	a			CAMPS
http://athletics.nyack.edu	a			CAMPUS MAP
http://athletics.nyack.edu	a			FACILITIES
http://athletics.nyack.edu	a			GIVING
http://athletics.nyack.edu	a			HALL OF FAME
http://athletics.nyack.edu	a			VISITOR GUIDE
http://athletics.nyack.edu	a			Social Media
