url	parent	ps	ns	text
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			       Jump to main content     
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			       Jump to search     
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			       Jump to the footer     
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			         Harvard University       
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			     Menu   
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a		span	                 About                 
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			                   Harvard                 
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Harvard at a Glance
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Harvard's President
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Harvard's Leadership
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Academic Experience
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Administrative Offices
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Directories
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Harvard in the Community
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			News
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a		span	                 Admissions                 
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			                   & Aid                 
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Undergraduate
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Continuing Education
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Summer Programs
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			                 Schools               
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Business
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			College
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Continuing Education
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Dental
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Design
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Divinity
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Education
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Engineering
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Government
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Graduate School
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Law
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Medical
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Public Health
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Radcliffe Institute
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			                 On Campus               
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Arts and Humanities
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Athletics
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Commencement
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Employment
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Events
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			HarvardX
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Library
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Museums
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Research
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Science
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Visit Harvard
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			                 Gazette News               
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			                 Events               
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			                 Visit               
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			                 Give               
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Faculty
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Staff
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Students
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Alumni
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Parents
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Visitors
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	a			Media
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			       Search:     
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			       Open Search     
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			About Harvard
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			History of the Presidency
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	span			Drew Gilpin Faust
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	h1			     History of Presidency    
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	h2			"2011 Baccalaureate Service: ""A Syncopated Life"""
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	time			May 24, 2011
https://harvard.edu/president/speech/2011/2011-baccalaureate-service-syncopated-life	p			Drew Gilpin Faust
