url	parent	ps	ns	text
https://online.cgu.edu	div			       Request Information      
https://online.cgu.edu	div	div		       Complete the form to receive information about admission, financial aid, and upcoming events.      
https://online.cgu.edu	label			Program of Interest
https://online.cgu.edu	option			Select One...
https://online.cgu.edu	option	option		MS in Evaluation and Applied Research (Online)
https://online.cgu.edu	option	option		MS in Information Systems & Technology (Online)
https://online.cgu.edu	div			   Please select the program you're interested in.  
https://online.cgu.edu	label			First Name
https://online.cgu.edu	div			   Please enter your first name.  
https://online.cgu.edu	label			Last Name
https://online.cgu.edu	div			   Please enter your last name.  
https://online.cgu.edu	label			Email Address
https://online.cgu.edu	div			   Please enter a valid email address.  
https://online.cgu.edu	label			Phone Number
https://online.cgu.edu	div			   Please enter a valid phone number (numbers only).  
https://online.cgu.edu	label			Postal Code
https://online.cgu.edu	div			   Please enter a valid postal code.  
https://online.cgu.edu	span			       Submit      
https://online.cgu.edu	span		i	       Please wait       
https://online.cgu.edu	div	div		"     By providing my information and clicking the ""Submit"" button, I consent to be contacted via telephone (including a cell phone, if provided), email, and text message.    "
https://online.cgu.edu	h4			Thank you!
https://online.cgu.edu	p			A program representative will be reaching out to you shortly.
https://online.cgu.edu	div			        Menu       
https://online.cgu.edu	span			Home
https://online.cgu.edu	span			Why CGU Online?
https://online.cgu.edu	span			About
https://online.cgu.edu	span			Online Learning
https://online.cgu.edu	span			Online Programs
https://online.cgu.edu	span			MS in Evaluation & Applied Research
https://online.cgu.edu	span			MS in Information Systems & Technology
https://online.cgu.edu	span			Admissions
https://online.cgu.edu	span			How to Apply
https://online.cgu.edu	span			Tuition & Financial Aid
https://online.cgu.edu	span			FAQ
https://online.cgu.edu	span			Insights
https://online.cgu.edu	span			Learn More
https://online.cgu.edu	span			Apply Now
https://online.cgu.edu	span			Featured Courses
https://online.cgu.edu	span			Faculty
https://online.cgu.edu	span			About CGU?
https://online.cgu.edu	span			Contact
https://online.cgu.edu	h1			Earn Your Claremont Graduate University Degree Online
https://online.cgu.edu	p			Flexible and personalized programs to expand your network and advance your career
https://online.cgu.edu	a			Request Information
https://online.cgu.edu	h1			Spring 2020 CGU Fellowships
https://online.cgu.edu	p			Request information to learn more about fellowships available to you
https://online.cgu.edu	h1			Why CGU Online?
https://online.cgu.edu	p			Discover why CGU online is the right place for your graduate studies
https://online.cgu.edu	a			Learn More
https://online.cgu.edu	h1			The Ultimate Online Graduate Program Experience
https://online.cgu.edu	p			World-class education and student support services
https://online.cgu.edu	div			 For almost 100 years, Claremont Graduate University has been engaging dynamic cohorts of master’s and doctoral students from its sunny Southern California campus. As the world grows increasingly digital, so does CGU’s reach. We are proud to offer two additional options for acquiring a world-class education in an online environment: the MS in Evaluation & Applied Research and the MS in Information Systems & Technology.  Our unique online Master of Science programs are designed with the marketplace in mind. Develop practical, relevant skills through flexible full-time or part-time enrollment, and connect with an expanded network of industry peers and faculty.  
https://online.cgu.edu	h2			Explore Our Online Programs
https://online.cgu.edu	h3			MS in Evaluation & Applied Research
https://online.cgu.edu	h3			MS in Information Systems & Technology
https://online.cgu.edu	h2			By the Numbers
https://online.cgu.edu	div			Date Founded
https://online.cgu.edu	div			1925
https://online.cgu.edu	div			Location
https://online.cgu.edu	div			Claremont, CA
https://online.cgu.edu	div			Core Faculty
https://online.cgu.edu	div			133
https://online.cgu.edu	div			Full-Time Faculty
https://online.cgu.edu	div			86%
https://online.cgu.edu	div			Graduate Students
https://online.cgu.edu	div			2,038
https://online.cgu.edu	div			Student to Faculty Ratio
https://online.cgu.edu	div			8:1
https://online.cgu.edu	div			Alumni Network
https://online.cgu.edu	div			22,000 
https://online.cgu.edu	div			International Students
https://online.cgu.edu	div			23%
https://online.cgu.edu	h3			Insights
https://online.cgu.edu	strong			Featured
https://online.cgu.edu	a			MSEVAL
https://online.cgu.edu	a			MSIST
https://online.cgu.edu	h3			How Esri’s Mapping & Analytics Unlock the Full Potential of Data
https://online.cgu.edu	em			May 8, 2018
https://online.cgu.edu	p			Learn how to use tools like Esri in building IT solutions as part of Claremont Graduate University’s online MSIST program and produce positive impacts across industries and around the world.
https://online.cgu.edu	h3			Explore the Mission of Organizational Assessment and Evaluation
https://online.cgu.edu	em			September 17, 2018
https://online.cgu.edu	p			To succeed, businesses must adapt and adopt necessary changes. Learn more about this process and how a Master’s in Evaluation and Applied Research can help.
https://online.cgu.edu	h2			Request Information
https://online.cgu.edu	p	h2		Learn more about Claremont Graduate University's online master's programs. Fill out our form to download a brochure and schedule a consultation with an admissions representative.
https://online.cgu.edu	span			         Submit        
https://online.cgu.edu	span		i	         Please wait         
https://online.cgu.edu	div	div		"       By providing my information and clicking the ""Submit"" button, I consent to be contacted via telephone (including a cell phone, if provided), email, and text message.      "
https://online.cgu.edu	address	div	br	      150 E. 10th Street
https://online.cgu.edu	address	div	br	      Claremont, CA 91711
https://online.cgu.edu	a			909-607-7811
https://online.cgu.edu	h6			Connect
https://online.cgu.edu	span			Facebook
https://online.cgu.edu	span			Twitter
https://online.cgu.edu	span			Instagram
https://online.cgu.edu	span			LinkedIn
https://online.cgu.edu	span			YouTube
https://online.cgu.edu	span			Resources
https://online.cgu.edu	span			State Authorization
https://online.cgu.edu	span			Resolution Process
https://online.cgu.edu	div			    © Copyright 2019 Claremont Graduate University   
https://www.cgu.edu	a			Skip to content
https://www.cgu.edu	a			Visit
https://www.cgu.edu	a			Apply
https://www.cgu.edu	a			Give
https://www.cgu.edu	a			News
https://www.cgu.edu	a			Events
https://www.cgu.edu	a			Alumni
https://www.cgu.edu	a			MyCGU
https://www.cgu.edu	a			Info For
https://www.cgu.edu	a			For Students
https://www.cgu.edu	a			For Faculty and Staff
https://www.cgu.edu	a			For Visitors
https://www.cgu.edu	a			For Employers
https://www.cgu.edu	span			Toggle Menu
https://www.cgu.edu	span			Search
https://www.cgu.edu	span			Request Info
https://www.cgu.edu	label			   What are you looking for? 
