url	parent	ps	ns	text
https://harvard.edu/privacy-statement	a			       Jump to main content     
https://harvard.edu/privacy-statement	a			       Jump to search     
https://harvard.edu/privacy-statement	a			       Jump to the footer     
https://harvard.edu/privacy-statement	span			         Harvard University       
https://harvard.edu/privacy-statement	a			     Menu   
https://harvard.edu/privacy-statement	a		span	                 About                 
https://harvard.edu/privacy-statement	span			                   Harvard                 
https://harvard.edu/privacy-statement	a			Harvard at a Glance
https://harvard.edu/privacy-statement	a			Harvard's President
https://harvard.edu/privacy-statement	a			Harvard's Leadership
https://harvard.edu/privacy-statement	a			Academic Experience
https://harvard.edu/privacy-statement	a			Administrative Offices
https://harvard.edu/privacy-statement	a			Directories
https://harvard.edu/privacy-statement	a			Harvard in the Community
https://harvard.edu/privacy-statement	a			News
https://harvard.edu/privacy-statement	a		span	                 Admissions                 
https://harvard.edu/privacy-statement	span			                   & Aid                 
https://harvard.edu/privacy-statement	a			Undergraduate
https://harvard.edu/privacy-statement	a			Graduate & Professional Schools
https://harvard.edu/privacy-statement	a			Continuing Education
https://harvard.edu/privacy-statement	a			Summer Programs
https://harvard.edu/privacy-statement	a			                 Schools               
https://harvard.edu/privacy-statement	a			Business
https://harvard.edu/privacy-statement	a			College
https://harvard.edu/privacy-statement	a			Continuing Education
https://harvard.edu/privacy-statement	a			Dental
https://harvard.edu/privacy-statement	a			Design
https://harvard.edu/privacy-statement	a			Divinity
https://harvard.edu/privacy-statement	a			Education
https://harvard.edu/privacy-statement	a			Engineering
https://harvard.edu/privacy-statement	a			Faculty of Arts & Sciences
https://harvard.edu/privacy-statement	a			Government
https://harvard.edu/privacy-statement	a			Graduate School
https://harvard.edu/privacy-statement	a			Law
https://harvard.edu/privacy-statement	a			Medical
https://harvard.edu/privacy-statement	a			Public Health
https://harvard.edu/privacy-statement	a			Radcliffe Institute
https://harvard.edu/privacy-statement	a			                 On Campus               
https://harvard.edu/privacy-statement	a			Arts and Humanities
https://harvard.edu/privacy-statement	a			Athletics
https://harvard.edu/privacy-statement	a			Commencement
https://harvard.edu/privacy-statement	a			Employment
https://harvard.edu/privacy-statement	a			Events
https://harvard.edu/privacy-statement	a			HarvardX
https://harvard.edu/privacy-statement	a			Library
https://harvard.edu/privacy-statement	a			Museums
https://harvard.edu/privacy-statement	a			Research
https://harvard.edu/privacy-statement	a			Science
https://harvard.edu/privacy-statement	a			Visit Harvard
https://harvard.edu/privacy-statement	a			                 Gazette News               
https://harvard.edu/privacy-statement	a			                 Events               
https://harvard.edu/privacy-statement	a			                 Visit               
https://harvard.edu/privacy-statement	a			                 Give               
https://harvard.edu/privacy-statement	a			Faculty
https://harvard.edu/privacy-statement	a			Staff
https://harvard.edu/privacy-statement	a			Students
https://harvard.edu/privacy-statement	a			Alumni
https://harvard.edu/privacy-statement	a			Parents
https://harvard.edu/privacy-statement	a			Visitors
https://harvard.edu/privacy-statement	a			Media
https://harvard.edu/privacy-statement	span			       Search:     
https://harvard.edu/privacy-statement	span			       Open Search     
https://harvard.edu/privacy-statement	h1			           Privacy Statement        
https://harvard.edu/privacy-statement	p			This Privacy Policy discloses the privacy practices for www.harvard.edu, the main Harvard University website. Please note that Harvard Schools, Centers, and other Harvard units and affiliates have separate privacy policies. By using this website, you are consenting to our collection and use of information in accordance with this Privacy Policy.
https://harvard.edu/privacy-statement	h3			What information do we gather about you?
https://harvard.edu/privacy-statement	p			We and our third-party vendors collect certain information regarding your use of www.harvard.edu, such as your IP address and browser type. Your session and the pages you visit on www.harvard.edu will be tracked, but you will remain anonymous. We may use your IP address to identify the general geographic area from which you are accessing Harvard.edu. We connect data from different systems but do not link IP addresses to any personal information. We may also collect other information as described in this policy.
https://harvard.edu/privacy-statement	h3			What do we use your information for?
