url	parent	ps	ns	text
https://calendar.uhd.edu	a			                    UHD Calendar                
https://calendar.uhd.edu	a			 Log In
https://calendar.uhd.edu	label			Search
https://calendar.uhd.edu	span			Search
https://calendar.uhd.edu	span			Featured Events
https://calendar.uhd.edu	a			Spring 2020 Term - Regular Session Classes Begin
https://calendar.uhd.edu	h4			The UHD Academic Calendar is the official publication of all important dates and deadlines for a given term, such as term begin and end dates, registration...
https://calendar.uhd.edu	abbr			 1/13                 
https://calendar.uhd.edu	a			Welcome Week- Coffee with Veteran Services
https://calendar.uhd.edu	h4			Welcome Week Activities
https://calendar.uhd.edu	abbr			 1/13 8:00am                 
https://calendar.uhd.edu	a			Welcome Week - Gulf Coast Blood Drive
https://calendar.uhd.edu	abbr			 1/13 9:00am                 
https://calendar.uhd.edu	a			Welcome Week - Sports and Fitness Frenzy
https://calendar.uhd.edu	a			Welcome Week - I Got 99 Problems but Money...
https://calendar.uhd.edu	abbr			 1/13 11:30am                 
https://calendar.uhd.edu	a			Welcome Week - Game Stop
https://calendar.uhd.edu	abbr			 1/13 2:00pm                 
https://calendar.uhd.edu	a			Welcome Week - Coffee with Veterans Services 
https://calendar.uhd.edu	abbr			 1/14 8:00am                 
https://calendar.uhd.edu	abbr			 1/14 9:00am                 
https://calendar.uhd.edu	a			Welcome Week - UHD Main Career Carnival
https://calendar.uhd.edu	abbr			 1/14 9:30am                 
https://calendar.uhd.edu	abbr			 1/14 10:00am                 
https://calendar.uhd.edu	span			Trending Events
https://calendar.uhd.edu	a			Trending
https://calendar.uhd.edu	a			Upcoming
https://calendar.uhd.edu	a			Excel Formulas and Functions
https://calendar.uhd.edu	h4			In this training we will cover the use of advanced Excel formulas and functions including Logic, Text, and Lookup functions  Learning Outcomes:  Users will...
https://calendar.uhd.edu	abbr			      1/14 2pm                               
https://calendar.uhd.edu	a			 IT Training Room (Fishbowl), ACAD 700E
https://calendar.uhd.edu	a			Register
https://calendar.uhd.edu	a	a		Watch This
https://calendar.uhd.edu	a	a		I'm Interested
https://calendar.uhd.edu	a			Blackboard Ally
https://calendar.uhd.edu	h4			Blackboard A11y is an exciting new accessibility product that is integrated right into Blackboard. Blackboard A11y assists faculty with making digital course...
https://calendar.uhd.edu	abbr			      1/13 10am                               
https://calendar.uhd.edu	a			VoiceThread
https://calendar.uhd.edu	h4			VoiceThread is a learning tool for enhancing student engagement and online presence. With VoiceThread, instructors and/or students can create, share, and...
https://calendar.uhd.edu	abbr			      1/22 2pm                               
https://calendar.uhd.edu	a			Link Up with LinkedIn
https://calendar.uhd.edu	h4			Career Coaches will be assisting alumni and undergraduate students by reviewing LinkedIn Profiles. Free Headshots will be available so make sure to dress...
https://calendar.uhd.edu	abbr			      1/23 11:30am                               
https://calendar.uhd.edu	a			 Career Development Center, S402
https://calendar.uhd.edu	a			Watch This
https://calendar.uhd.edu	a			Spring 2020 Semester Begins
https://calendar.uhd.edu	h4			Spring semester classes begin
https://calendar.uhd.edu	abbr			      1/13                               
https://calendar.uhd.edu	a			 University of Houston-Downtown
https://calendar.uhd.edu	a			Working with Formstack Webforms
https://calendar.uhd.edu	h4			In this training you will learn the basics of managing webforms and their feedback reports in Formstack. Please note that a WebTech Access form must be...
https://calendar.uhd.edu	abbr			      1/14 9am                               
https://calendar.uhd.edu	a			Respondus LDB/Monitor
https://calendar.uhd.edu	h4			Respondus LockDown Browser is a customized browser that increases the security of online testing in Blackboard. When students use Respondus LockDown Browser...
https://calendar.uhd.edu	abbr			      1/15 2pm                               
https://calendar.uhd.edu	a			Outlook Tips and Tricks
https://calendar.uhd.edu	h4			In this training we will cover basic and advanced functionalities in Outlook to save you time and keep you organized  Learning Outcomes:  Users will learn to...
