url	parent	ps	ns	text
https://calendar.up.edu	noscript			Master Calendar requires Javascript to be supported and enabled.
https://calendar.up.edu	div			   EMS Master Calendar  
https://calendar.up.edu	span			Help Text
https://calendar.up.edu	h1			Calendar Managers
https://calendar.up.edu	span			It looks like you have enabled Internet Explorer Compatibility View.  Master Calendar works best if you turn this off.
https://calendar.up.edu	span			Dismiss
https://calendar.up.edu	div			 guest
https://calendar.up.edu	label			User Id
https://calendar.up.edu	label			Password
https://calendar.up.edu	label			Time zone
https://calendar.up.edu	div			Email me my password
https://calendar.up.edu	div			Login
https://calendar.up.edu	div			Cancel
https://calendar.up.edu	label			Email
https://calendar.up.edu	div			Email Me
https://calendar.up.edu	a	div		Notifications/iCal Feeds
https://calendar.up.edu	div			Calendars
https://calendar.up.edu	span			Expand/Collapse Arrow
https://calendar.up.edu	div			Filters
https://calendar.up.edu	div			   Event Types  
https://calendar.up.edu	div			   Locations  
https://calendar.up.edu	div			   Rooms  
https://calendar.up.edu	div			   Departments  
https://calendar.up.edu	div			                                  Back to Calendar                              
https://calendar.up.edu	div			Search Results
https://calendar.up.edu	label			From:
https://calendar.up.edu	label			To:
https://calendar.up.edu	label			Use Selected Filters
https://calendar.up.edu	label			Use Exact Match
https://calendar.up.edu	label			General events
https://calendar.up.edu	label			Special dates
https://calendar.up.edu	div		span	Your search for: '
https://calendar.up.edu	div		span	' returned (
https://calendar.up.edu	div			) result(s)
https://calendar.up.edu	span			Select to export the search results as a .csv file
https://calendar.up.edu	div			Export
https://calendar.up.edu	span			Event Date
https://calendar.up.edu	span			Title
https://calendar.up.edu	div			   Location  
https://calendar.up.edu	span			Calendar
https://calendar.up.edu	span			Load More Results
https://calendar.up.edu	div			   Notes  
https://calendar.up.edu	div			   Featured Events  
https://calendar.up.edu	h1			Featured Event Title
https://calendar.up.edu	div			                                              more                                          
https://calendar.up.edu	div			                              Events                          
https://calendar.up.edu	div			Day
https://calendar.up.edu	div			Week
https://calendar.up.edu	div			Month
https://calendar.up.edu	div			List
https://calendar.up.edu	div			Calendar
https://calendar.up.edu	div			Add Event
https://calendar.up.edu	label			Display as
https://calendar.up.edu	div			Select Calendar(s)
https://calendar.up.edu	div			                              Back to events                          
https://calendar.up.edu	div			more
https://calendar.up.edu	div			Footer
https://calendar.up.edu	div			              Announcements
https://calendar.up.edu	div			              Apply
https://calendar.up.edu	a			Calendar Managers
https://calendar.up.edu	a			RSS Feeds
https://calendar.up.edu	span			Loading
https://calendar.up.edu	a			Edit
https://library.up.edu	a			Skip to main content
https://library.up.edu	a			Skip to footer site map
https://library.up.edu	strong			MENU
https://library.up.edu	strong			INFO FOR
https://library.up.edu	strong			SEARCH
https://library.up.edu	strong			EVENTS
https://library.up.edu	a			APPLY
https://library.up.edu	a			GIVE to UP
https://library.up.edu	a			PilotsUP
https://library.up.edu	h2			Menu
https://library.up.edu	li			Academics
https://library.up.edu	a			Majors & Minors
https://library.up.edu	a			Graduate Programs
https://library.up.edu	a			College & Schools
https://library.up.edu	a			Academic Centers & Special Programs
https://library.up.edu	a			Library
https://library.up.edu	a			Registrar
https://library.up.edu	a			Office of the Provost
https://library.up.edu	li			Admissions & Financial Aid
https://library.up.edu	a			Undergraduate Admissions
https://library.up.edu	a			Admitted Undergraduates
https://library.up.edu	a			Graduate School
https://library.up.edu	a			International Admissions
https://library.up.edu	a			Visit
https://library.up.edu	a			Financial Aid
https://library.up.edu	li			Faith & Spirituality
https://library.up.edu	a			Campus Ministry
https://library.up.edu	a			Garaventa Center
https://library.up.edu	a			Holy Cross
https://library.up.edu	li			Student Life
https://library.up.edu	a			Get Involved
https://library.up.edu	a			Diversity, Equity & Inclusion
https://library.up.edu	a			Faith, Service & Leadership
https://library.up.edu	a			Health and Counseling Center
https://library.up.edu	a			International Student Services
https://library.up.edu	a			Portland
https://library.up.edu	a			Residence Life
https://library.up.edu	a			Safety on Campus
https://library.up.edu	a			Sports and Fitness
https://library.up.edu	a			Student Employment, Internships & Careers
https://library.up.edu	a			On-Campus Dining
https://library.up.edu	li			About UP
https://library.up.edu	a			About
https://library.up.edu	a			Mission
https://library.up.edu	a			History
https://library.up.edu	a			President
https://library.up.edu	a			Strategic Plan: Vision 2020
https://library.up.edu	a			Alumni & Parent Relations
https://library.up.edu	a			Bookstore
https://library.up.edu	a			Campus Map
https://library.up.edu	a			Directory
https://library.up.edu	a			News
https://library.up.edu	a			Pilot Athletics
https://library.up.edu	a			Student Accounts
https://library.up.edu	h2			Info For
https://library.up.edu	li			Current Students
https://library.up.edu	a			Academic Advising
https://library.up.edu	a			Academic Calendar
https://library.up.edu	a			Bon Appetit
https://library.up.edu	a			Career Center
https://library.up.edu	a			Clark Library
https://library.up.edu	a			Commencement
https://library.up.edu	a			Community Against Violence
https://library.up.edu	a			Diversity, Equity, and Inclusion
https://library.up.edu	a			Health & Counseling
https://library.up.edu	a			Information Services
https://library.up.edu	a			Junior Parents & Families Weekend
https://library.up.edu	a			Moreau Center for Service and Justice
https://library.up.edu	a			Printing & Mailing
https://library.up.edu	a			Recreational Services
https://library.up.edu	a			Shepard Academic Resource Center
https://library.up.edu	a			Student Activities
https://library.up.edu	a			Student Employment
https://library.up.edu	a			University Bulletin
https://library.up.edu	li			Prospective Students
https://library.up.edu	a			Graduate Admissions
https://library.up.edu	a			Admissions Counselors
https://library.up.edu	a			Net Price Calculator
https://library.up.edu	a			Plan a Visit
https://library.up.edu	a			Request Information
https://library.up.edu	a			Prepare for College
https://library.up.edu	a			Residence Life & Dining
https://library.up.edu	a			Student Life
https://library.up.edu	li			Faculty & Staff
https://library.up.edu	a			Beauchamp Center
https://library.up.edu	a			Controller
https://library.up.edu	a			Development
https://library.up.edu	a			Early Alert
https://library.up.edu	a			Human Resources
