url	parent	ps	ns	text
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			       Jump to main content     
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			       Jump to search     
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			       Jump to the footer     
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	span			         Harvard University       
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			     Menu   
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a		span	                 About                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	span			                   Harvard                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Harvard at a Glance
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Harvard's President
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Harvard's Leadership
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Academic Experience
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Administrative Offices
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Directories
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Harvard in the Community
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			News
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a		span	                 Admissions                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	span			                   & Aid                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Undergraduate
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Graduate & Professional Schools
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Continuing Education
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Summer Programs
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			                 Schools               
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Business
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			College
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Continuing Education
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Dental
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Design
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Divinity
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Education
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Engineering
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Faculty of Arts & Sciences
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Government
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Graduate School
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Law
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Medical
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Public Health
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Radcliffe Institute
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			                 On Campus               
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Arts and Humanities
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Athletics
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Commencement
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Employment
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Events
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			HarvardX
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Library
https://harvard.edu/about-harvard/harvard-glance/history-presidency/nathan-marsh-pusey	a			Museums
