url	parent	ps	ns	text
http://necmusic.edu	a			       Skip to main content     
http://necmusic.edu	h2			Schools Menu
http://necmusic.edu	div			           Explore       
http://necmusic.edu	a			The College
http://necmusic.edu	a			Preparatory School
http://necmusic.edu	a			Continuing Education
http://necmusic.edu	a			Engage
http://necmusic.edu	a			Visit
http://necmusic.edu	a			Give
http://necmusic.edu	span			Search
http://necmusic.edu	h2			Main navigation
http://necmusic.edu	a			About
http://necmusic.edu	a			News
http://necmusic.edu	a			Mission
http://necmusic.edu	a			Leadership
http://necmusic.edu	a			In the Community
http://necmusic.edu	a			Award Recipients & Honorees
http://necmusic.edu	a			Honorary Doctor of Music
http://necmusic.edu	a			Concert Halls
http://necmusic.edu	a			Library
http://necmusic.edu	a			Directions
http://necmusic.edu	a			Diversity, Equity, and Inclusion
http://necmusic.edu	a			Study
http://necmusic.edu	a			Majors
http://necmusic.edu	a			Performance Opportunities
http://necmusic.edu	a			Educational Opportunities
http://necmusic.edu	a			Degrees & Programs
http://necmusic.edu	a			Summer
http://necmusic.edu	a			Faculty
http://necmusic.edu	a			Student Life
http://necmusic.edu	a			Housing
http://necmusic.edu	a			Dining
http://necmusic.edu	a			Health & Wellness
http://necmusic.edu	a			Student Activities
http://necmusic.edu	a			Student Handbook
http://necmusic.edu	a			Student Services
http://necmusic.edu	a			Academic Calendar
http://necmusic.edu	a			Commencement
http://necmusic.edu	a			The Boston Advantage
http://necmusic.edu	a			Safety On Campus
http://necmusic.edu	a			Student Stories
http://necmusic.edu	a			Alumni
http://necmusic.edu	a			NEC Welcome Program
http://necmusic.edu	a			Connect
http://necmusic.edu	a			Learn
http://necmusic.edu	a			Get Involved
http://necmusic.edu	a			Apply
http://necmusic.edu	a			How to Apply
http://necmusic.edu	a			Audition Information
http://necmusic.edu	a			Tuition & Financial Aid
http://necmusic.edu	a			Plan A Visit
http://necmusic.edu	a			Concerts
http://necmusic.edu	a			Save Your Seat
http://necmusic.edu	a			Giving
http://necmusic.edu	a			Make a Gift to NEC
http://necmusic.edu	a			Planned Giving
http://necmusic.edu	a			The NEC Fund
http://necmusic.edu	a			Ways to Give
http://necmusic.edu	a			Corporate Partnership Opportunities
