url	parent	ps	ns	text
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			       Jump to main content     
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			       Jump to search     
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			       Jump to the footer     
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	span			         Harvard University       
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			     Menu   
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a		span	                 About                 
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	span			                   Harvard                 
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Harvard at a Glance
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Harvard's President
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Harvard's Leadership
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Academic Experience
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Administrative Offices
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Directories
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Harvard in the Community
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			News
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a		span	                 Admissions                 
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	span			                   & Aid                 
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Undergraduate
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Continuing Education
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Summer Programs
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			                 Schools               
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Business
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			College
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Continuing Education
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Dental
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Design
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Divinity
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Education
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Engineering
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Government
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Graduate School
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Law
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Medical
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Public Health
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Radcliffe Institute
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			                 On Campus               
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Arts and Humanities
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Athletics
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Commencement
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Employment
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Events
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			HarvardX
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Library
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Museums
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Research
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Science
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			Visit Harvard
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			                 Gazette News               
https://harvard.edu/president/speech/2015/universities-and-challenge-climate-change	a			                 Events               
