url	parent	ps	ns	text
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			       Jump to main content     
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			       Jump to search     
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			       Jump to the footer     
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	span			         Harvard University       
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			     Menu   
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a		span	                 About                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	span			                   Harvard                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Harvard at a Glance
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Harvard's President
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Harvard's Leadership
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Academic Experience
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Administrative Offices
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Directories
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Harvard in the Community
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			News
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a		span	                 Admissions                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	span			                   & Aid                 
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Undergraduate
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Graduate & Professional Schools
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Continuing Education
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			Summer Programs
https://harvard.edu/about-harvard/harvard-glance/history-presidency/john-leverett	a			                 Schools               
