url	parent	ps	ns	text
https://library.salem.edu	a			My Salem
https://library.salem.edu	a			Writing Center
https://library.salem.edu	a			QUEST
https://library.salem.edu	a			Home
https://library.salem.edu	strong			Hours
https://library.salem.edu	strong			About
https://library.salem.edu	a			Philosophy
https://library.salem.edu	a			Archives & Special Collections
https://library.salem.edu	a			Spaces
https://library.salem.edu	a			News and Events
https://library.salem.edu	a			Library Staff Directory
https://library.salem.edu	a			Policies & Procedures
https://library.salem.edu	strong			Research Toolkit
https://library.salem.edu	a			Borrowing From Other Libraries
https://library.salem.edu	a			Citations
https://library.salem.edu	a			Course Reserves
https://library.salem.edu	a			Databases
https://library.salem.edu	a			Journals
https://library.salem.edu	a			Research Guides
https://library.salem.edu	a			Schedule a Research Appointment
https://library.salem.edu	strong			Faculty Resources
https://library.salem.edu	a			Research & Learning Support
https://library.salem.edu	a			Faculty Course Reserves
https://library.salem.edu	a			Tests on Reserve
https://library.salem.edu	a			Purchase Recommendations
https://library.salem.edu	a			Copyright & Fair Use
https://library.salem.edu	h1			Salem College Libraries
https://library.salem.edu	a			Advanced Search
https://library.salem.edu	button			 Search 
https://library.salem.edu	a			My Library Account
https://library.salem.edu	a	a		Course Reserves
https://library.salem.edu	a			Off-Campus Access
https://library.salem.edu	a	a		Research Guides
https://library.salem.edu	a			Get Help
https://library.salem.edu	a	a		Databases
https://library.salem.edu	a			Reserve a Room
https://library.salem.edu	a	a		Archives & Special Collections
https://library.salem.edu	h3			LOCATION & HOURS
https://library.salem.edu	div		br	Gramley Library
https://library.salem.edu	div		br	  626 S. Church Street Winston Salem NC 27101
https://library.salem.edu	div		br	  ph: (336) 721-2649
https://library.salem.edu	h3			Directions
https://library.salem.edu	p	p		Powered by Google Maps Widget
https://library.salem.edu	h3			Join The Conversation
https://library.salem.edu	span			Connect On Facebook
https://library.salem.edu	span			Connect On Instagram
https://library.salem.edu	img			© 2019 Salem College Libraries
https://my.salem.edu	h1			JavaScript required
https://my.salem.edu	p			JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled.
https://my.salem.edu	p			To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help.
https://my.salem.edu	div			Sign in
https://my.salem.edu	label			User Account
