url	parent	ps	ns	text
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			       Jump to main content     
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			       Jump to search     
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			       Jump to the footer     
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	h1			       Harvard University     
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			       Back to Harvard.edu     
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	span			Media Relations
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	span			Photos and Multimedia
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	span			Photos
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	h1			           Photo Ordering for Harvard Faculty and Staff        
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			Media Relations
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			Media Resources
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			Photos and Multimedia
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			Photos
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			Photo Order Form for Media
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			Photo Ordering for Harvard Faculty and Staff
https://harvard.edu/media-relations/photos-and-multimedia/photos/photo-ordering-for-harvard-faculty-and-staff	a			Videos
