url	parent	ps	ns	text
https://harvard.edu/copyright-issue	a			       Jump to main content     
https://harvard.edu/copyright-issue	a			       Jump to search     
https://harvard.edu/copyright-issue	a			       Jump to the footer     
https://harvard.edu/copyright-issue	span			         Harvard University       
https://harvard.edu/copyright-issue	a			     Menu   
https://harvard.edu/copyright-issue	a		span	                 About                 
https://harvard.edu/copyright-issue	span			                   Harvard                 
https://harvard.edu/copyright-issue	a			Harvard at a Glance
https://harvard.edu/copyright-issue	a			Harvard's President
https://harvard.edu/copyright-issue	a			Harvard's Leadership
https://harvard.edu/copyright-issue	a			Academic Experience
https://harvard.edu/copyright-issue	a			Administrative Offices
https://harvard.edu/copyright-issue	a			Directories
https://harvard.edu/copyright-issue	a			Harvard in the Community
https://harvard.edu/copyright-issue	a			News
https://harvard.edu/copyright-issue	a		span	                 Admissions                 
https://harvard.edu/copyright-issue	span			                   & Aid                 
https://harvard.edu/copyright-issue	a			Undergraduate
https://harvard.edu/copyright-issue	a			Graduate & Professional Schools
https://harvard.edu/copyright-issue	a			Continuing Education
https://harvard.edu/copyright-issue	a			Summer Programs
https://harvard.edu/copyright-issue	a			                 Schools               
https://harvard.edu/copyright-issue	a			Business
https://harvard.edu/copyright-issue	a			College
https://harvard.edu/copyright-issue	a			Continuing Education
https://harvard.edu/copyright-issue	a			Dental
https://harvard.edu/copyright-issue	a			Design
https://harvard.edu/copyright-issue	a			Divinity
https://harvard.edu/copyright-issue	a			Education
https://harvard.edu/copyright-issue	a			Engineering
https://harvard.edu/copyright-issue	a			Faculty of Arts & Sciences
https://harvard.edu/copyright-issue	a			Government
https://harvard.edu/copyright-issue	a			Graduate School
https://harvard.edu/copyright-issue	a			Law
https://harvard.edu/copyright-issue	a			Medical
https://harvard.edu/copyright-issue	a			Public Health
https://harvard.edu/copyright-issue	a			Radcliffe Institute
https://harvard.edu/copyright-issue	a			                 On Campus               
https://harvard.edu/copyright-issue	a			Arts and Humanities
https://harvard.edu/copyright-issue	a			Athletics
https://harvard.edu/copyright-issue	a			Commencement
https://harvard.edu/copyright-issue	a			Employment
https://harvard.edu/copyright-issue	a			Events
https://harvard.edu/copyright-issue	a			HarvardX
https://harvard.edu/copyright-issue	a			Library
https://harvard.edu/copyright-issue	a			Museums
https://harvard.edu/copyright-issue	a			Research
https://harvard.edu/copyright-issue	a			Science
https://harvard.edu/copyright-issue	a			Visit Harvard
https://harvard.edu/copyright-issue	a			                 Gazette News               
https://harvard.edu/copyright-issue	a			                 Events               
https://harvard.edu/copyright-issue	a			                 Visit               
https://harvard.edu/copyright-issue	a			                 Give               
https://harvard.edu/copyright-issue	a			Faculty
https://harvard.edu/copyright-issue	a			Staff
https://harvard.edu/copyright-issue	a			Students
https://harvard.edu/copyright-issue	a			Alumni
https://harvard.edu/copyright-issue	a			Parents
https://harvard.edu/copyright-issue	a			Visitors
https://harvard.edu/copyright-issue	a			Media
https://harvard.edu/copyright-issue	span			       Search:     
https://harvard.edu/copyright-issue	span			       Open Search     
https://harvard.edu/copyright-issue	h1			           Copyright Issue        
https://harvard.edu/copyright-issue	p		a	In accordance with the 
https://harvard.edu/copyright-issue	a			Digital Millennium Copyright Act
https://harvard.edu/copyright-issue	p			 (“DMCA”), Pub. L. 105-304, Harvard has designated an agent to receive notification of alleged copyright infringement occurring in the harvard.edu domain. If you believe that your copyrighted work is being infringed, notify our designated agent specified below.
https://harvard.edu/copyright-issue	p			Please note, this agent is for reporting of copyright infringement and is not the correct person to answer requests for copyright permission.
https://harvard.edu/copyright-issue	h3			Tracy Walden
