url	parent	ps	ns	text
https://yale.edu/search	a			Skip to Main Content
https://yale.edu/search	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
https://yale.edu/search	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
https://yale.edu/search	h1			Yale University
https://yale.edu/search	h2			Secondary Navigation
https://yale.edu/search	span			Calendars
https://yale.edu/search	span			Giving
https://yale.edu/search	span			News
https://yale.edu/search	span			Directories
https://yale.edu/search	span			Search
https://yale.edu/search	button			Navigation
https://yale.edu/search	label			Info for...
https://yale.edu/search	option			Students
https://yale.edu/search	option	option		Faculty
https://yale.edu/search	option	option		Staff
https://yale.edu/search	option	option		Alumni
https://yale.edu/search	h2			Main Navigation
https://yale.edu/search	a			About Yale
https://yale.edu/search	a			Leadership & Organization
https://yale.edu/search	a	a		Yale Facts
https://yale.edu/search	a	a		Traditions & History
https://yale.edu/search	a	a		Yale & the World
https://yale.edu/search	a	a		Visiting
https://yale.edu/search	a			Academics
https://yale.edu/search	a			Undergraduate Study
https://yale.edu/search	a	a		Graduate & Professional Study
https://yale.edu/search	a	a		Departments & Programs
https://yale.edu/search	a	a		Global Education
https://yale.edu/search	a	a		Summer Session
https://yale.edu/search	a	a		Non-Degree Offerings
https://yale.edu/search	a	a		Online Learning
https://yale.edu/search	a			Admissions
https://yale.edu/search	a			Undergraduate
https://yale.edu/search	a	a		Graduate & Professional Schools
https://yale.edu/search	a	a		Financial Aid
https://yale.edu/search	a	a		International Students
https://yale.edu/search	a	a		Summer Session
https://yale.edu/search	a	a		Non-Degree Seeking Students
https://yale.edu/search	a	a		World Fellows Program
https://yale.edu/search	a			Research & Collections
https://yale.edu/search	a			Research at Yale
https://yale.edu/search	a	a		Libraries
https://yale.edu/search	a	a		Museums & Galleries
https://yale.edu/search	a	a		Centers & Institutes
https://yale.edu/search	a	a		Digital Collections & Open Resources
https://yale.edu/search	a			Life at Yale
https://yale.edu/search	a			Arts & Culture
https://yale.edu/search	a	a		Athletics & Recreation
https://yale.edu/search	a	a		Belonging at Yale
https://yale.edu/search	a	a		Health & Wellness
https://yale.edu/search	a	a		New Haven
https://yale.edu/search	a	a		Residential Life
https://yale.edu/search	a	a		Service
https://yale.edu/search	a	a		Student Groups & Activities
https://yale.edu/search	span			Search
https://yale.edu/search	h2			Breadcrumb
https://yale.edu/search	span			Home
https://yale.edu/search	span			Search
https://yale.edu/search	h1			Search
https://yale.edu/search	label			Enter your keywords 
https://yale.edu/search	label			Info for Visiting Yale
https://yale.edu/search	option			Campus Tours
https://yale.edu/search	option	option		Maps & Directions
https://yale.edu/search	option	option		Yale Visitor Center
https://yale.edu/search	option	option		Museums & Galleries
https://yale.edu/search	option	option		New Haven
https://yale.edu/search	option	option		More Visit Resources
https://yale.edu/search	h2			Helpful Links
https://yale.edu/search	a			Contact Us
https://yale.edu/search	a	a		Yale West Campus
https://yale.edu/search	a	a		Employment Opportunities
https://yale.edu/search	a	a		Privacy Policy
https://yale.edu/search	a	a		Emergency Info
https://yale.edu/search	a	a		Public Safety
https://yale.edu/search	a	a		Nondiscrimination & Title IX
https://yale.edu/search	a	a		Accessibility at Yale
https://yale.edu/search	a	a		Yale Mobile
https://yale.edu/search	h2			Visiting Yale
https://yale.edu/search	a			Campus Tours
https://yale.edu/search	a	a		Maps & Directions
https://yale.edu/search	a	a		Yale Visitor Center
https://yale.edu/search	a	a		Museums & Galleries
https://yale.edu/search	a	a		New Haven
https://yale.edu/search	a	a		More Visit Resources
https://yale.edu/search	figcaption			Yale on Instagram
https://yale.edu/search	h2			Social Links
https://yale.edu/search	span	span		Facebook
https://yale.edu/search	span	span		Twitter
https://yale.edu/search	span	span		YouTube
https://yale.edu/search	span	span		Sina Weibo
https://yale.edu/search	a			All Social Media
https://yale.edu/search	span			Copyright © 2019 Yale University
https://yale.edu/search	span			All Rights Reserved
https://yale.edu/search	a			Contact Web Editor
https://yale.edu/search	a			Back to top
https://yale.edu/search	h1			Yale University
https://yale.edu/search	span			Search
https://yale.edu/search	button		span	      Navigation      
https://yale.edu/search	h2			Main Navigation
https://yale.edu/search	span			About Yale
https://yale.edu/search	span			Academics
https://yale.edu/search	span			Admissions
https://yale.edu/search	span			Research & Collections
https://yale.edu/search	span			Life at Yale
https://yale.edu/search	h2			Secondary Navigation
https://yale.edu/search	span			Calendars
https://yale.edu/search	span			Giving
https://yale.edu/search	span			News
https://yale.edu/search	span			Directories
https://yale.edu/search	h2			Gateway Navigation
https://yale.edu/search	a			Students
https://yale.edu/search	a	a		Faculty
https://yale.edu/search	a	a		Staff
https://yale.edu/search	a	a		Alumni
