url	parent	ps	ns	text
https://www.alasu.edu/golden-class-1970	a			       Skip to main content     
https://www.alasu.edu/golden-class-1970	h3	button	a	Severe Weather Notification. For more information 
https://www.alasu.edu/golden-class-1970	a			click here
https://www.alasu.edu/golden-class-1970	a			ASU directory
https://www.alasu.edu/golden-class-1970	a			Blackboard
https://www.alasu.edu/golden-class-1970	a			Hornets Web
https://www.alasu.edu/golden-class-1970	a			Alerts
https://www.alasu.edu/golden-class-1970	a			Library
https://www.alasu.edu/golden-class-1970	a			Bookstore
https://www.alasu.edu/golden-class-1970	h2			Search
https://www.alasu.edu/golden-class-1970	label			Search
https://www.alasu.edu/golden-class-1970	span			Search
https://www.alasu.edu/golden-class-1970	a			Academics
https://www.alasu.edu/golden-class-1970	a			Undergraduate
https://www.alasu.edu/golden-class-1970	a			Graduates
https://www.alasu.edu/golden-class-1970	a			Colleges
https://www.alasu.edu/golden-class-1970	a			Academic Calendar
https://www.alasu.edu/golden-class-1970	a			Summer Academic Calendar
https://www.alasu.edu/golden-class-1970	a			Research 
https://www.alasu.edu/golden-class-1970	a			Continuing Education
https://www.alasu.edu/golden-class-1970	a			International
https://www.alasu.edu/golden-class-1970	a			TRIO
https://www.alasu.edu/golden-class-1970	a			Online Programs 
https://www.alasu.edu/golden-class-1970	a			Digital Catalog
https://www.alasu.edu/golden-class-1970	a			Official Catalog
https://www.alasu.edu/golden-class-1970	a			Students
https://www.alasu.edu/golden-class-1970	a			HornetQ
https://www.alasu.edu/golden-class-1970	a			Undergraduate Admissions
https://www.alasu.edu/golden-class-1970	a			New Student Orientation
https://www.alasu.edu/golden-class-1970	a			Graduate Admissions
https://www.alasu.edu/golden-class-1970	a			Cost & Aid
https://www.alasu.edu/golden-class-1970	a			Housing & Residence Life
https://www.alasu.edu/golden-class-1970	a			Records & Registration
https://www.alasu.edu/golden-class-1970	a			Student Life
https://www.alasu.edu/golden-class-1970	a			Student Accounts
https://www.alasu.edu/golden-class-1970	a			Office of Disability Services
https://www.alasu.edu/golden-class-1970	a			Student Organizations
https://www.alasu.edu/golden-class-1970	a			Services
https://www.alasu.edu/golden-class-1970	a			Diversity and International Affairs
https://www.alasu.edu/golden-class-1970	a			Office of Judicial Affairs
https://www.alasu.edu/golden-class-1970	a			Administration
https://www.alasu.edu/golden-class-1970	a			President's Office
https://www.alasu.edu/golden-class-1970	a			Board Of Trustees
https://www.alasu.edu/golden-class-1970	a			Provost
https://www.alasu.edu/golden-class-1970	a			Faculty
https://www.alasu.edu/golden-class-1970	a			Human Resources
https://www.alasu.edu/golden-class-1970	a			Technology
https://www.alasu.edu/golden-class-1970	a			Finance
https://www.alasu.edu/golden-class-1970	a			Campus Police
https://www.alasu.edu/golden-class-1970	a			Institutional Effectiveness
https://www.alasu.edu/golden-class-1970	a			Facilities
https://www.alasu.edu/golden-class-1970	a			Procurement
https://www.alasu.edu/golden-class-1970	a			Events Management
https://www.alasu.edu/golden-class-1970	a			Title III
https://www.alasu.edu/golden-class-1970	a			Alumni
https://www.alasu.edu/golden-class-1970	a			National Alumni Association
https://www.alasu.edu/golden-class-1970	a			Join the NAA
https://www.alasu.edu/golden-class-1970	a			Update your Contact Information
https://www.alasu.edu/golden-class-1970	a			50 Under 50 Alumni Awards
https://www.alasu.edu/golden-class-1970	a			Spirit Awards
https://www.alasu.edu/golden-class-1970	a			 Alumni Reconnect 
https://www.alasu.edu/golden-class-1970	a			Brick Campaign
https://www.alasu.edu/golden-class-1970	a			Golden Class of 1970
https://www.alasu.edu/golden-class-1970	a			Community
https://www.alasu.edu/golden-class-1970	a			Community Relations Department
https://www.alasu.edu/golden-class-1970	a			Open Records Request
https://www.alasu.edu/golden-class-1970	a			Media Relations
https://www.alasu.edu/golden-class-1970	a			WVAS
https://www.alasu.edu/golden-class-1970	a			Labor Day Classic
https://www.alasu.edu/golden-class-1970	a			Small Business Development Center
https://www.alasu.edu/golden-class-1970	a			Campus Camps & Programs
https://www.alasu.edu/golden-class-1970	a			Put a Ring on It
https://www.alasu.edu/golden-class-1970	a			About
https://www.alasu.edu/golden-class-1970	a			Our Campus
https://www.alasu.edu/golden-class-1970	a			History and Tradition
https://www.alasu.edu/golden-class-1970	a			Events
https://www.alasu.edu/golden-class-1970	a			News
https://www.alasu.edu/golden-class-1970	a			Photos
https://www.alasu.edu/golden-class-1970	a			Videos
https://www.alasu.edu/golden-class-1970	a			Apply
https://www.alasu.edu/golden-class-1970	a			Visit
https://www.alasu.edu/golden-class-1970	a			Giving
https://www.alasu.edu/golden-class-1970	a			Athletics
https://www.alasu.edu/golden-class-1970	span			Golden Class of 1970
https://www.alasu.edu/golden-class-1970	strong			Dear 1970 Classmate:
https://www.alasu.edu/golden-class-1970	p			Nineteen seventy marked our commencement at Alabama State University, standing on “college heights, and the beginning of our professional endeavors. Two thousand twenty marks 50 years since our graduation from ASU and 27 years of golden reunion celebrations.
https://www.alasu.edu/golden-class-1970	p			The steering committee is making plans for an enjoyable, memorable and engaging reunion celebration featuring festive events, along with an exciting journey down memory lane to honor this important milestone.
https://www.alasu.edu/golden-class-1970	p			One of the most exciting parts of the reunion experience is the opportunity to give back. Our class is looking forward to raising funds in support of our alma mater, O’ Mother Dear!
https://www.alasu.edu/golden-class-1970	p			One of the most exciting parts of the reunion experience is the opportunity to give back.  This website includes all the information you need to register, participate and donate.
https://www.alasu.edu/golden-class-1970	strong			For additional information and questions, download the PDF.
https://www.alasu.edu/golden-class-1970	strong		a	Click the
https://www.alasu.edu/golden-class-1970	a			 Donate Now Button. Select the Events and Golden Class of 1970
https://www.alasu.edu/golden-class-1970	a			DOWNLOAD NOW
