url	parent	ps	ns	text
http://mit.edu/privacy	a			Skip to content â
http://mit.edu/privacy	h1			Massachusetts Institute of Technology
http://mit.edu/privacy	a			Education
http://mit.edu/privacy	a			Research
http://mit.edu/privacy	a			Innovation
http://mit.edu/privacy	a			Admissions   Aid
http://mit.edu/privacy	a			Campus Life
http://mit.edu/privacy	a			News
http://mit.edu/privacy	a			Alumni
http://mit.edu/privacy	a			About MIT
http://mit.edu/privacy	button		span	More 
http://mit.edu/privacy	span			â
http://mit.edu/privacy	a			Admissions   Aid
http://mit.edu/privacy	a			Campus Life
http://mit.edu/privacy	a			News
http://mit.edu/privacy	a			Alumni
http://mit.edu/privacy	a			About MIT
http://mit.edu/privacy	span			Menu
http://mit.edu/privacy	span			â
http://mit.edu/privacy	span			Search
http://mit.edu/privacy	a			Menu
http://mit.edu/privacy	label			Search websites, locations, and people
http://mit.edu/privacy	span			             What are you looking for?           
http://mit.edu/privacy	span			See More Results
http://mit.edu/privacy	a			Suggestions or feedback?
http://mit.edu/privacy	a			Home
http://mit.edu/privacy	span			Privacy
http://mit.edu/privacy	span			Privacy
http://mit.edu/privacy	p			Privacy StatementÂ 
http://mit.edu/privacy	h3			Overview
http://mit.edu/privacy	p			Your privacy is important to MIT, and we are committed to respecting it.
http://mit.edu/privacy	p		a	This privacy statement applies to the main MIT website, whichÂ includes the MIT homepageÂ at 
http://mit.edu/privacy	a			http://web.mit.edu
http://mit.edu/privacy	p		a	Â (also viewable at 
http://mit.edu/privacy	a			http://mit.edu
http://mit.edu/privacy	p		a	 and 
http://mit.edu/privacy	a			http://www.mit.edu
http://mit.edu/privacy	p		a	), as well as the following top-level pages: 
http://mit.edu/privacy	a			Education
http://mit.edu/privacy	a			Research
http://mit.edu/privacy	a			Innovation
http://mit.edu/privacy	a			Admissions   Aid
http://mit.edu/privacy	a			Campus Life
http://mit.edu/privacy	a			Alumni
http://mit.edu/privacy	a			About MIT
http://mit.edu/privacy	a			Visit
http://mit.edu/privacy	a			Contact
http://mit.edu/privacy	a			Accessibility
http://mit.edu/privacy	a			Privacy
http://mit.edu/privacy	p		a	, and 
http://mit.edu/privacy	a			Feedback
http://mit.edu/privacy	p			In addition to the main MIT website, MIT departments, labs, centers, and individuals publish many other websites and pages outside the scope of this privacy statement, which may post and adhere to their own privacy statements. Visitors are encouraged to review posted privacy statements for each MIT website they visit.
http://mit.edu/privacy	h3			Your personal information
http://mit.edu/privacy	p			You can visit the main MIT website without telling us who you are and without revealing any personal information about yourself.
http://mit.edu/privacy	h3			Voluntarily provided information
