url	parent	ps	ns	text
https://harvard.edu/president/news/2018/toward-better-community	a			       Jump to main content     
https://harvard.edu/president/news/2018/toward-better-community	a			       Jump to search     
https://harvard.edu/president/news/2018/toward-better-community	a			       Jump to the footer     
https://harvard.edu/president/news/2018/toward-better-community	span			         Harvard University       
https://harvard.edu/president/news/2018/toward-better-community	a			     Menu   
https://harvard.edu/president/news/2018/toward-better-community	a		span	                 About                 
https://harvard.edu/president/news/2018/toward-better-community	span			                   Harvard                 
https://harvard.edu/president/news/2018/toward-better-community	a			Harvard at a Glance
https://harvard.edu/president/news/2018/toward-better-community	a			Harvard's President
https://harvard.edu/president/news/2018/toward-better-community	a			Harvard's Leadership
https://harvard.edu/president/news/2018/toward-better-community	a			Academic Experience
https://harvard.edu/president/news/2018/toward-better-community	a			Administrative Offices
https://harvard.edu/president/news/2018/toward-better-community	a			Directories
https://harvard.edu/president/news/2018/toward-better-community	a			Harvard in the Community
https://harvard.edu/president/news/2018/toward-better-community	a			News
https://harvard.edu/president/news/2018/toward-better-community	a		span	                 Admissions                 
https://harvard.edu/president/news/2018/toward-better-community	span			                   & Aid                 
https://harvard.edu/president/news/2018/toward-better-community	a			Undergraduate
https://harvard.edu/president/news/2018/toward-better-community	a			Graduate & Professional Schools
https://harvard.edu/president/news/2018/toward-better-community	a			Continuing Education
https://harvard.edu/president/news/2018/toward-better-community	a			Summer Programs
https://harvard.edu/president/news/2018/toward-better-community	a			                 Schools               
https://harvard.edu/president/news/2018/toward-better-community	a			Business
https://harvard.edu/president/news/2018/toward-better-community	a			College
https://harvard.edu/president/news/2018/toward-better-community	a			Continuing Education
https://harvard.edu/president/news/2018/toward-better-community	a			Dental
https://harvard.edu/president/news/2018/toward-better-community	a			Design
https://harvard.edu/president/news/2018/toward-better-community	a			Divinity
https://harvard.edu/president/news/2018/toward-better-community	a			Education
https://harvard.edu/president/news/2018/toward-better-community	a			Engineering
https://harvard.edu/president/news/2018/toward-better-community	a			Faculty of Arts & Sciences
https://harvard.edu/president/news/2018/toward-better-community	a			Government
https://harvard.edu/president/news/2018/toward-better-community	a			Graduate School
https://harvard.edu/president/news/2018/toward-better-community	a			Law
https://harvard.edu/president/news/2018/toward-better-community	a			Medical
https://harvard.edu/president/news/2018/toward-better-community	a			Public Health
https://harvard.edu/president/news/2018/toward-better-community	a			Radcliffe Institute
https://harvard.edu/president/news/2018/toward-better-community	a			                 On Campus               
https://harvard.edu/president/news/2018/toward-better-community	a			Arts and Humanities
https://harvard.edu/president/news/2018/toward-better-community	a			Athletics
https://harvard.edu/president/news/2018/toward-better-community	a			Commencement
https://harvard.edu/president/news/2018/toward-better-community	a			Employment
https://harvard.edu/president/news/2018/toward-better-community	a			Events
https://harvard.edu/president/news/2018/toward-better-community	a			HarvardX
https://harvard.edu/president/news/2018/toward-better-community	a			Library
https://harvard.edu/president/news/2018/toward-better-community	a			Museums
https://harvard.edu/president/news/2018/toward-better-community	a			Research
https://harvard.edu/president/news/2018/toward-better-community	a			Science
https://harvard.edu/president/news/2018/toward-better-community	a			Visit Harvard
https://harvard.edu/president/news/2018/toward-better-community	a			                 Gazette News               
https://harvard.edu/president/news/2018/toward-better-community	a			                 Events               
https://harvard.edu/president/news/2018/toward-better-community	a			                 Visit               
https://harvard.edu/president/news/2018/toward-better-community	a			                 Give               
https://harvard.edu/president/news/2018/toward-better-community	a			Faculty
https://harvard.edu/president/news/2018/toward-better-community	a			Staff
https://harvard.edu/president/news/2018/toward-better-community	a			Students
https://harvard.edu/president/news/2018/toward-better-community	a			Alumni
https://harvard.edu/president/news/2018/toward-better-community	a			Parents
https://harvard.edu/president/news/2018/toward-better-community	a			Visitors
https://harvard.edu/president/news/2018/toward-better-community	a			Media
https://harvard.edu/president/news/2018/toward-better-community	span			       Search:     
https://harvard.edu/president/news/2018/toward-better-community	span			       Open Search     
https://harvard.edu/president/news/2018/toward-better-community	span			Harvard.edu
https://harvard.edu/president/news/2018/toward-better-community	span			Office of the President
https://harvard.edu/president/news/2018/toward-better-community	span			President News
https://harvard.edu/president/news/2018/toward-better-community	h1			           Office of the President         
https://harvard.edu/president/news/2018/toward-better-community	a			Office of the President
https://harvard.edu/president/news/2018/toward-better-community	a			Biography
https://harvard.edu/president/news/2018/toward-better-community	a			News
https://harvard.edu/president/news/2018/toward-better-community	a			Speeches
https://harvard.edu/president/news/2018/toward-better-community	a			History
https://harvard.edu/president/news/2018/toward-better-community	a			Contact
https://harvard.edu/president/news/2018/toward-better-community	a			Inauguration
https://harvard.edu/president/news/2018/toward-better-community	h2			Toward a Better Community
https://harvard.edu/president/news/2018/toward-better-community	time			November 13, 2018
https://harvard.edu/president/news/2018/toward-better-community	p			Dear Members of the Harvard Community,
https://harvard.edu/president/news/2018/toward-better-community	p		a	I have now received 
https://harvard.edu/president/news/2018/toward-better-community	a			the final report
https://harvard.edu/president/news/2018/toward-better-community	p			 of the committee convened to evaluate the lessons Harvard might learn about its policies, practices, and procedures in light of the events leading to the arrest of a student by the Cambridge Police Department last April 13. Led by Professor Annette Gordon-Reed and composed of members who offered an impressive range of expertise, the Committee undertook its work with great care and thoughtfulness. Their report is comprehensive, and I accept its recommendations enthusiastically.
https://harvard.edu/president/news/2018/toward-better-community	p			The Committee articulated four principles to guide its efforts and to inform its recommendations. Each of these principles is important in its own right, but collectively they speak to what it means to create a vibrant and effective educational environment—the obligations the University owes to its members, the members to the University, and the members to each other.  
https://harvard.edu/president/news/2018/toward-better-community	p			A paramount institutional responsibility is fostering an environment where students are safe and feel safe, and more broadly where they have the opportunity to do their best work and be their best selves. These were among the central reasons for the formation of the review committee itself. As President Faust noted in her charge to the Committee, the events of April 13 were deeply unsettling to many members of our community and especially to those from historically underrepresented groups. They caused students and others to worry about their personal well-being and also about their place as full members of the Harvard community—a theme heard by the Committee and reflected in comments from students set forth in its report.
https://harvard.edu/president/news/2018/toward-better-community	p			I take these concerns seriously and, indeed, they speak to a central commitment of my presidency. I want every member of the community to be able, as expressed by the Task Force on Inclusion and Belonging, to participate “in the chances Harvard offers to learn, to create, to discover, and to achieve.” The testimony from students underscores the urgency of this work.  
