url	parent	ps	ns	text
https://events.ucf.edu	a			Events at UCF
https://events.ucf.edu	a			Log In 
https://events.ucf.edu	a		span	Manage 
https://events.ucf.edu	li			Edit Events
https://events.ucf.edu	a			Manager View 
https://events.ucf.edu	li			Edit Calendar
https://events.ucf.edu	a			 Users & Permissions
https://events.ucf.edu	a			 Calendar Info
https://events.ucf.edu	a			 Subscriptions
https://events.ucf.edu	a			Subscribe to Calendar 
https://events.ucf.edu	a			Day View
https://events.ucf.edu	a			Week View
https://events.ucf.edu	a			Month View
https://events.ucf.edu	a			Year View
https://events.ucf.edu	a			Upcoming
https://events.ucf.edu	button		span	 View By... 
https://events.ucf.edu	label			Search events, calendars
https://events.ucf.edu	span			Search
https://events.ucf.edu	h2			Today's Events
https://events.ucf.edu	a			Getting Great Letters of Recommendation
https://events.ucf.edu	span			Jan. 12, 2020
https://events.ucf.edu	span			All Day
https://events.ucf.edu	time			 until 11:59 p.m. 
https://events.ucf.edu	span			Trevor Colbourn Hall: 201
https://events.ucf.edu	p			 How do you know if the relationships you’ve built with your faculty will turn into great letters of recommendation? This Academic Advancement Programs (AAP) workshop will break down the steps needed to ensure your letters of recommendation are strong for graduate school applications. Now that you’ve built upon your experiences. Let’s hone those experiences and create a competitive application. This ... 
https://events.ucf.edu	span			 Events at UCF 
https://events.ucf.edu	span			View Event
https://events.ucf.edu	a			Exhibit: Zora Neale Hurston’s ‘Native Village’: Historic Eatonville Remembered
https://events.ucf.edu	span			John C. Hitt Library
https://events.ucf.edu	p			 The UCF History Department exhibit, Zora Neale Hurston’s ‘Native Village’: Historic Eatonville Remembered, hosted on the first-floor gallery wall in the John C. Hitt Library, explores Hurston’s anthropological research into the people, history, and culture of Eatonville. Curated by UCF Associate Professor of History and Director of Public History Dr. Scot French, the exhibit features photographs related to Hurston’s investigation ... 
https://events.ucf.edu	a			ASME EFx TOTB Conference
https://events.ucf.edu	span			 at 11 a.m. 
https://events.ucf.edu	time			 until 9 p.m. 
https://events.ucf.edu	span			Student Union
https://events.ucf.edu	p			" EFx ""Think Outside the Box"" is a national engineering conference focusing on the impact of innovation and entrepreneurship though breakout sessions, guest speakers, and student design competitions. An ASME EFx is a one-day event designed to bring the excitement, community, innovation and vibrant experience of an ASME E-Fests engineering festival to engineering students at local colleges and universities around the ... "
