url	parent	ps	ns	text
http://www.stcl.edu	a			Calendar
http://www.stcl.edu	a			Legal Clinics
http://www.stcl.edu	a			Stanley
http://www.stcl.edu	a			Faculty Directory
http://www.stcl.edu	a			Alumni Directory
http://www.stcl.edu	a			Give Now
http://www.stcl.edu	a		span	About Us
http://www.stcl.edu	a			About Us
http://www.stcl.edu	a			News
http://www.stcl.edu	a			Faculty
http://www.stcl.edu	a			Administration
http://www.stcl.edu	a			Our Mission
http://www.stcl.edu	a			History
http://www.stcl.edu	a			Consumer Information (ABA Required Disclosures)
http://www.stcl.edu	a			Student Profile
http://www.stcl.edu	a			Human Resources
http://www.stcl.edu	a			Publications
http://www.stcl.edu	a			City of Houston
http://www.stcl.edu	a			Location
http://www.stcl.edu	a			Building Hours
http://www.stcl.edu	a			Contact Us
http://www.stcl.edu	h2			ABOUT US
http://www.stcl.edu	p			Located in the heart of the nation’s fourth largest city, South Texas College of Law Houston is a private, independent institution that has earned a reputation for providing students an exceptional, relevant, practical legal education that fully prepares them for a career in the profession. 
http://www.stcl.edu	a		span	Admissions & Aid
http://www.stcl.edu	h2			INFORMATION FOR:
http://www.stcl.edu	a			Full-Time Applicants
http://www.stcl.edu	a			Part-Time Applicants
http://www.stcl.edu	a			JD/MBA Applicants
http://www.stcl.edu	a			Foreign Degree Applicants
http://www.stcl.edu	a			Transfer Students
http://www.stcl.edu	a			Visiting Students
http://www.stcl.edu	h2			ADMISSIONS
http://www.stcl.edu	a			Admissions Home
http://www.stcl.edu	a			Application
http://www.stcl.edu	a			Visit South Texas College of Law Houston
http://www.stcl.edu	a			Tuition & Financial Aid
http://www.stcl.edu	a			Recruiting Calendar
http://www.stcl.edu	a			ABA Required Disclosures
http://www.stcl.edu	h2			SCHOLARSHIPS & FINANCIAL AID
http://www.stcl.edu	a			Scholarships & Financial Aid Home
http://www.stcl.edu	a			Information
http://www.stcl.edu	a			Planning Ahead
http://www.stcl.edu	a			Consumer & Safety Information
http://www.stcl.edu	a			Policy
http://www.stcl.edu	a		span	Academics, Skills & Programs
http://www.stcl.edu	h2			PATHWAYS TO PRACTICE
http://www.stcl.edu	p			Learn about different career options in many legal fields, what it’s like to practice in those fields, and how to plan a curriculum to emphasize desired career goals.
http://www.stcl.edu	a			Find Your Pathway »
http://www.stcl.edu	h2			INSTITUTES & PROGRAMS
http://www.stcl.edu	a			Advocacy Program
http://www.stcl.edu	a			Frank Evans Center for Conflict Resolution
http://www.stcl.edu	a			Harry L. Reed Oil and Gas Institute
http://www.stcl.edu	a			Institute for International Legal Practice and National Security
http://www.stcl.edu	a			Legal Research and Writing
http://www.stcl.edu	a			Randall O. Sorrels Legal Clinics
http://www.stcl.edu	a			Transactional Practice Center
http://www.stcl.edu	h2			ACADEMIC RESOURCES
http://www.stcl.edu	a			Course Offerings
http://www.stcl.edu	a			Registrar
http://www.stcl.edu	a			Law Reviews & Journals
http://www.stcl.edu	a			Study Abroad
http://www.stcl.edu	a			Pro Bono Programs
http://www.stcl.edu	a		span	Fred Parks Law Library
http://www.stcl.edu	a			Library Home
http://www.stcl.edu	a			STELLA 
http://www.stcl.edu	a			Visitor Info
http://www.stcl.edu	a			Texas Rules Project
http://www.stcl.edu	a			Special Collections
http://www.stcl.edu	a			Library Services
http://www.stcl.edu	a			Blog
http://www.stcl.edu	h2			FRED PARKS LAW LIBRARY
http://www.stcl.edu	p			The Fred Parks Law Library offers students access to more than 90 law-related databases; a comprehensive range of government documents; special collections, including rare books, manuscripts, and archives; and legal research guides. These resources are all designed not only to support students in the classroom, but also to better prepare them for employment after graduation.
http://www.stcl.edu	a		span	Student Services
http://www.stcl.edu	a			Safety & Security
http://www.stcl.edu	a			Student Academic Affairs
http://www.stcl.edu	a			Academic Success and Bar Prep
http://www.stcl.edu	a			Student Organizations
http://www.stcl.edu	a			Career Resources
http://www.stcl.edu	a			Technology
http://www.stcl.edu	h2			STUDENT SERVICES
http://www.stcl.edu	p			South Texas College of Law Houston provides students with a full range of services and opportunities to enhance their learning experience. We offer nearly 40 special-interest student organizations, technology support, academic counseling, and assistance in pursuing employment, internships, and clerkships.
http://www.stcl.edu	a		span	Career Resource Center
http://www.stcl.edu	a			Prospective Students
http://www.stcl.edu	a			Current Students
http://www.stcl.edu	a			Employers
http://www.stcl.edu	a			Alumni
http://www.stcl.edu	h2			CAREER RESOURCES
http://www.stcl.edu	p			South Texas College of Law Houston is committed to helping our students maximize their potential for a successful, rewarding career. We help students to locate opportunities in private practice, public interest, government, and business; provide career counseling and job search advice; offer assistance identifying and applying for clerkships and internships; and connect students with alumni and other potential employers.
http://www.stcl.edu	a		span	Alumni & Friends
http://www.stcl.edu	a			Alumni Community
http://www.stcl.edu	a			Alumni Events
http://www.stcl.edu	a			Volunteer Opportunities
http://www.stcl.edu	a			Giving
http://www.stcl.edu	a			Corporate Partnership
http://www.stcl.edu	a			Bookstore
http://www.stcl.edu	a			Annual Donor Report
http://www.stcl.edu	h2			ALUMNI AND FRIENDS
http://www.stcl.edu	p			More than 15,000 South Texas College of Law Houston alumni live and work across the U.S. and the globe. Every new graduate is automatically a member of the Alumni Association.   Our alumni have achieved success in private practice, the judiciary, as general counsels, and in government and public service. Additionally, we have built partnerships with friends of the law school who share our vision and seek to support our mission.
http://www.stcl.edu	a			Experience South Texas College of Law Houston on Saturday, January 25, 2020 
http://www.stcl.edu	a			Discover the South Texas Difference 
http://www.stcl.edu	a			Offering students a practical education, a strong community of support, and professors committed to student success 
http://www.stcl.edu	a			Practical Education. Lifelong Connections. 
http://www.stcl.edu	strong		span	133rd NATIONAL ADVOCACY WIN 
http://www.stcl.edu	p		a	No other law school in the country can claim half as many wins    
http://www.stcl.edu	a			More »
http://www.stcl.edu	strong		span	Another ADR Championship Win 
http://www.stcl.edu	p		a	STCL Houston’s ADR teams regularly compete in up to nine events each year  
http://www.stcl.edu	strong		span	Ranked # 1 - BEST OF THE DECADE for Moot Court 
http://www.stcl.edu	p		a	The school also received top recognition by PreLaw magazine  
http://www.stcl.edu	span			Apply
