url	parent	ps	ns	text
https://sbc.edu	a			Skip to content
https://sbc.edu	i			menu
https://sbc.edu	a			News
https://sbc.edu	a			Events
https://sbc.edu	a			A-Z Index
https://sbc.edu	a			Directory
https://sbc.edu	a			About
https://sbc.edu	button			Primary Menu
https://sbc.edu	a			Admissions
https://sbc.edu	a			Academics
https://sbc.edu	a			Student Life
https://sbc.edu	a			Athletics
https://sbc.edu	a			Riding
https://sbc.edu	a			Alumnae
https://sbc.edu	a			Give Online
https://sbc.edu	h1			Two students attend leadership summit, learn from corporate and civic leaders
https://sbc.edu	h1	img		A history of Boxwood House, a place to behold campus life
https://sbc.edu	h1	img		Building community through cooking
https://sbc.edu	h1	img		Sweet Briar leadership core takes young Vixen home to Guatemala
https://sbc.edu	a		i	apply now 
https://sbc.edu	i			mode_edit
https://sbc.edu	div		i	life 
https://sbc.edu	span			sweet briar.
https://sbc.edu	h2			Campus Life
https://sbc.edu	h2			Virtual Tour
https://sbc.edu	h2			Videos
https://sbc.edu	h2			Riding
https://sbc.edu	h2			Academics
https://sbc.edu	h2			Athletics
https://sbc.edu	div		i	find 
https://sbc.edu	i			your
https://sbc.edu	span			news.
https://sbc.edu	a			Sweet Briar makes Princeton Review’s list of Best Southeastern colleges for 2020
https://sbc.edu	p			Sweet Briar has once again been crowned a Best Southeastern college by The Princeton Review. According to the annual publication’s “Region by Region” web feature, the 656 schools on the five lists (Northeastern, Southeastern, Midwestern, Western and International) are deemed “academically outstanding and well worth consideration in your college search.”
https://sbc.edu	a			Read More >
https://sbc.edu	a			Significant gift from Richard C. Colton Jr. will advance Sweet Briar College riding program
https://sbc.edu	p			Well-known philanthropist Richard C. Colton Jr. has given $1 million to Sweet Briar College to support the renovation of the College’s stables, which will be named the Howell Lykes Colton ’38 Stables in honor of his mother.
https://sbc.edu	a			A half decade of sweet work
https://sbc.edu	p			This year, the College’s new tradition of Sweet Work Weeks marked its fifth year and in that relatively short period of time, the annual event has become almost as big as Reunion weekend. Participants paint, weed, mulch and more — all to welcome students home for a new academic year. Of course, it’s about more than just work. It’s also an opportunity for alumnae of different generations to get to know each other in a meaningful way. We are so grateful for the hard work of all of our amazing alumnae that we wanted to take a moment to honor some of the women — and some husbands — who have become regular attendees at Sweet Work Weeks. 
