url	parent	ps	ns	text
https://my.marianuniversity.edu	div			You may be trying to access this site from a secured browser on the server. Please enable scripts and reload this page.
https://my.marianuniversity.edu	a			      Turn on more accessible mode     
https://my.marianuniversity.edu	a			      Turn off more accessible mode     
https://my.marianuniversity.edu	a			      Skip Ribbon Commands     
https://my.marianuniversity.edu	a			      Skip to main content     
https://my.marianuniversity.edu	a			      Turn off Animations     
https://my.marianuniversity.edu	a			      Turn on Animations
https://my.marianuniversity.edu	span	span		Follow
https://my.marianuniversity.edu	div			I am looking for:
https://my.marianuniversity.edu	div			It looks like your browser does not have JavaScript enabled. Please turn on JavaScript and try again.
https://my.marianuniversity.edu	a			Sign In
https://my.marianuniversity.edu	span			                     MyMarian                     
https://my.marianuniversity.edu	a	span		MyMarian
https://my.marianuniversity.edu	span	span		Home
https://my.marianuniversity.edu	span			Toggle navigation
https://my.marianuniversity.edu	span			MyMarian
https://my.marianuniversity.edu	span			Home
https://my.marianuniversity.edu	span	span		Currently selected
https://my.marianuniversity.edu	span			Academics
https://my.marianuniversity.edu	span			5-Year University Calendar
https://my.marianuniversity.edu	span			College of Arts, Sciences, and Letters
https://my.marianuniversity.edu	span			College of the Professions
https://my.marianuniversity.edu	span			Library
https://my.marianuniversity.edu	span			Special Programs
https://my.marianuniversity.edu	span			Student Academic Calendar
https://my.marianuniversity.edu	span			Study Abroad
https://my.marianuniversity.edu	span			Campus Life
https://my.marianuniversity.edu	span			Campus Ministry
https://my.marianuniversity.edu	span			Military Resource Page
https://my.marianuniversity.edu	span			Office of Student Life
https://my.marianuniversity.edu	span			Student Senate
https://my.marianuniversity.edu	span			TRIO-SSS
https://my.marianuniversity.edu	span			Emergency Info
https://my.marianuniversity.edu	span			Behavioral Intervention Team
https://my.marianuniversity.edu	span			Building Addresses
https://my.marianuniversity.edu	span			Campus Safety
https://my.marianuniversity.edu	span			Emergency Information/Numbers
https://my.marianuniversity.edu	span			Emergency Response Plan
https://my.marianuniversity.edu	span			Incident Statement Form
https://my.marianuniversity.edu	span			Shelter Locations
https://my.marianuniversity.edu	span			Tornado Procedures
https://my.marianuniversity.edu	span			University Closure
https://my.marianuniversity.edu	span			Financial Aid
https://my.marianuniversity.edu	span			General Information
https://my.marianuniversity.edu	span			Scholarships
https://my.marianuniversity.edu	span			Offices
https://my.marianuniversity.edu	span			Advancement
https://my.marianuniversity.edu	span			Business and Finance
https://my.marianuniversity.edu	span			Information Technology Services
https://my.marianuniversity.edu	span			Institutional Effectiveness
https://my.marianuniversity.edu	span			Registrar
https://my.marianuniversity.edu	span			Research and Sponsored Projects
https://my.marianuniversity.edu	span			University Policy Manual
https://my.marianuniversity.edu	span			    Home   
https://my.marianuniversity.edu	span			Welcome to MyMarian!
https://my.marianuniversity.edu	p			              Welcome to the My Marian Portal! My Marian was designed to provide you with the most up-to-date information and access to our resources, services, and office information. In order to get information specific to you, please Sign In to your account using your Marian University username and password. Click the Sign in link in the upper right-hand corner of this window. 
https://my.marianuniversity.edu	p	p	br	Please note: If you are off-campus use your full e-mail address to sign in.
https://my.marianuniversity.edu	p			      45 S. National Ave. • Fond du Lac, WI 54935-4699 •         1-800-2-MARIAN
https://my.marianuniversity.edu	p	h1	br	​​​
https://my.marianuniversity.edu	span			Useful Links
https://my.marianuniversity.edu	a		img	Links
https://my.marianuniversity.edu	a			Forgot Password/Portal Guard
https://my.marianuniversity.edu	a			Former Student Account Request
https://my.marianuniversity.edu	a			Transcript Request
https://my.marianuniversity.edu	a			Web Print
https://my.marianuniversity.edu	div			Edit in Dashboard Designer
https://my.marianuniversity.edu	div	div		/_layouts/15/images/ppsEditDesigner.png?rev=23
https://my.marianuniversity.edu	div	div		/_layouts/15/ppswebparts/DesignerRedirect.aspx?Operation=OpenItem&ItemLocation={ItemUrl}
https://my.marianuniversity.edu	div	div		0x0
https://my.marianuniversity.edu	div	div		ContentType
https://my.marianuniversity.edu	div	div		0x0101004C06BE72B56941358D9BD0B31603EC4D
https://my.marianuniversity.edu	div	div		230
https://my.marianuniversity.edu	div	div		/_layouts/15/images/PPSSiteTemplateRun.png?rev=23
https://my.marianuniversity.edu	div	div		{SiteUrl}/_layouts/15/ppswebparts/DesignerRedirect.aspx?Operation=OpenItem&ItemLocation={ItemUrl}&ItemType=Dashboard
https://my.marianuniversity.edu	div	div		0x01002DDC53CB1D5F4520BE0568558051291F06
https://my.marianuniversity.edu	div	div		{SiteUrl}/_layouts/15/ppswebparts/DesignerRedirect.aspx?Operation=OpenItem&ItemLocation={ItemUrl}&ItemType=Filter
https://my.marianuniversity.edu	div	div		0x01002DDC53CB1D5F4520BE0568558051291F05
https://my.marianuniversity.edu	div	div		{SiteUrl}/_layouts/15/ppswebparts/DesignerRedirect.aspx?Operation=OpenItem&ItemLocation={ItemUrl}&ItemType=Indicator
https://my.marianuniversity.edu	div	div		0x01002DDC53CB1D5F4520BE0568558051291F03
https://my.marianuniversity.edu	div	div		{SiteUrl}/_layouts/15/ppswebparts/DesignerRedirect.aspx?Operation=OpenItem&ItemLocation={ItemUrl}&ItemType=Kpi
https://my.marianuniversity.edu	div	div		0x01002DDC53CB1D5F4520BE0568558051291F01
https://my.marianuniversity.edu	div			Display Report
https://my.marianuniversity.edu	div	div		javascript:window.open('{SiteUrl}/_layouts/15/ppswebparts/ReportViewPreview.aspx?SiteLocation={SiteUrl}&ItemLocation={ItemUrl}')
https://my.marianuniversity.edu	div	div		0x01002DDC53CB1D5F4520BE0568558051291F04
