url	parent	ps	ns	text
http://mit.edu/#mission	a			Skip to content â
http://mit.edu/#mission	h1			Massachusetts Institute of Technology
http://mit.edu/#mission	a			Education
http://mit.edu/#mission	a			Research
http://mit.edu/#mission	a			Innovation
http://mit.edu/#mission	a			Admissions   Aid
http://mit.edu/#mission	a			Campus Life
http://mit.edu/#mission	a			News
http://mit.edu/#mission	a			Alumni
http://mit.edu/#mission	a			About MIT
http://mit.edu/#mission	button		span	More 
http://mit.edu/#mission	span			â
http://mit.edu/#mission	a			Admissions   Aid
http://mit.edu/#mission	a			Campus Life
http://mit.edu/#mission	a			News
http://mit.edu/#mission	a			Alumni
http://mit.edu/#mission	a			About MIT
http://mit.edu/#mission	span			Menu
http://mit.edu/#mission	span			â
http://mit.edu/#mission	span			Search
http://mit.edu/#mission	a			Menu
http://mit.edu/#mission	label			Search websites, locations, and people
http://mit.edu/#mission	span			             What are you looking for?           
http://mit.edu/#mission	span			See More Results
http://mit.edu/#mission	a			Suggestions or feedback?
http://mit.edu/#mission	span			Spotlight: Dec 23, 2019
http://mit.edu/#mission	p		a	Ours is a community of many talents: Kris Guay, who works in 
http://mit.edu/#mission	a			MIT Admissions
http://mit.edu/#mission	p		a	, penned a poem capturing the essence of December in New England â when the days grow short, and our thoughts turn to family, friends, and home. Seasonâs greetings! 
http://mit.edu/#mission	a			Watch video
http://mit.edu/#mission	h4			Dec 23, 2019
http://mit.edu/#mission	h4			Share:
http://mit.edu/#mission	span			Twitter
http://mit.edu/#mission	span			Facebook
http://mit.edu/#mission	h2			Recent Spotlights
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	h3			Placeholder
http://mit.edu/#mission	span			Massachusetts Institute of Technology
http://mit.edu/#mission	a			Education
http://mit.edu/#mission	a			Research
http://mit.edu/#mission	a			Innovation
http://mit.edu/#mission	a			Admissions   Aid
http://mit.edu/#mission	a			Campus Life
http://mit.edu/#mission	a		span	News
http://mit.edu/#mission	span			news.mit.edu
http://mit.edu/#mission	a			About MIT
http://mit.edu/#mission	a			Alumni
http://mit.edu/#mission	span			Join us in building a better world.
http://mit.edu/#mission	p			               Massachusetts Institute of Technology           
http://mit.edu/#mission	a			77 Massachusetts Avenue, Cambridge, MA, USA
http://mit.edu/#mission	a			Visit
http://mit.edu/#mission	a			Map
http://mit.edu/#mission	a			Events
http://mit.edu/#mission	a			People
http://mit.edu/#mission	a			Careers
http://mit.edu/#mission	a			Contact
http://mit.edu/#mission	a			Privacy
http://mit.edu/#mission	a			Accessibility
http://mit.edu/#mission	span			Social Media Hub
