url	parent	ps	ns	text
https://harvard.edu/president/speech/2012/universities-changing-world	a			       Jump to main content     
https://harvard.edu/president/speech/2012/universities-changing-world	a			       Jump to search     
https://harvard.edu/president/speech/2012/universities-changing-world	a			       Jump to the footer     
https://harvard.edu/president/speech/2012/universities-changing-world	span			         Harvard University       
https://harvard.edu/president/speech/2012/universities-changing-world	a			     Menu   
https://harvard.edu/president/speech/2012/universities-changing-world	a		span	                 About                 
https://harvard.edu/president/speech/2012/universities-changing-world	span			                   Harvard                 
https://harvard.edu/president/speech/2012/universities-changing-world	a			Harvard at a Glance
https://harvard.edu/president/speech/2012/universities-changing-world	a			Harvard's President
https://harvard.edu/president/speech/2012/universities-changing-world	a			Harvard's Leadership
https://harvard.edu/president/speech/2012/universities-changing-world	a			Academic Experience
https://harvard.edu/president/speech/2012/universities-changing-world	a			Administrative Offices
https://harvard.edu/president/speech/2012/universities-changing-world	a			Directories
https://harvard.edu/president/speech/2012/universities-changing-world	a			Harvard in the Community
https://harvard.edu/president/speech/2012/universities-changing-world	a			News
https://harvard.edu/president/speech/2012/universities-changing-world	a		span	                 Admissions                 
https://harvard.edu/president/speech/2012/universities-changing-world	span			                   & Aid                 
https://harvard.edu/president/speech/2012/universities-changing-world	a			Undergraduate
https://harvard.edu/president/speech/2012/universities-changing-world	a			Graduate & Professional Schools
https://harvard.edu/president/speech/2012/universities-changing-world	a			Continuing Education
https://harvard.edu/president/speech/2012/universities-changing-world	a			Summer Programs
https://harvard.edu/president/speech/2012/universities-changing-world	a			                 Schools               
https://harvard.edu/president/speech/2012/universities-changing-world	a			Business
https://harvard.edu/president/speech/2012/universities-changing-world	a			College
https://harvard.edu/president/speech/2012/universities-changing-world	a			Continuing Education
https://harvard.edu/president/speech/2012/universities-changing-world	a			Dental
https://harvard.edu/president/speech/2012/universities-changing-world	a			Design
https://harvard.edu/president/speech/2012/universities-changing-world	a			Divinity
https://harvard.edu/president/speech/2012/universities-changing-world	a			Education
https://harvard.edu/president/speech/2012/universities-changing-world	a			Engineering
https://harvard.edu/president/speech/2012/universities-changing-world	a			Faculty of Arts & Sciences
https://harvard.edu/president/speech/2012/universities-changing-world	a			Government
https://harvard.edu/president/speech/2012/universities-changing-world	a			Graduate School
https://harvard.edu/president/speech/2012/universities-changing-world	a			Law
https://harvard.edu/president/speech/2012/universities-changing-world	a			Medical
https://harvard.edu/president/speech/2012/universities-changing-world	a			Public Health
https://harvard.edu/president/speech/2012/universities-changing-world	a			Radcliffe Institute
https://harvard.edu/president/speech/2012/universities-changing-world	a			                 On Campus               
https://harvard.edu/president/speech/2012/universities-changing-world	a			Arts and Humanities
https://harvard.edu/president/speech/2012/universities-changing-world	a			Athletics
https://harvard.edu/president/speech/2012/universities-changing-world	a			Commencement
https://harvard.edu/president/speech/2012/universities-changing-world	a			Employment
https://harvard.edu/president/speech/2012/universities-changing-world	a			Events
https://harvard.edu/president/speech/2012/universities-changing-world	a			HarvardX
https://harvard.edu/president/speech/2012/universities-changing-world	a			Library
https://harvard.edu/president/speech/2012/universities-changing-world	a			Museums
https://harvard.edu/president/speech/2012/universities-changing-world	a			Research
https://harvard.edu/president/speech/2012/universities-changing-world	a			Science
https://harvard.edu/president/speech/2012/universities-changing-world	a			Visit Harvard
https://harvard.edu/president/speech/2012/universities-changing-world	a			                 Gazette News               
https://harvard.edu/president/speech/2012/universities-changing-world	a			                 Events               
https://harvard.edu/president/speech/2012/universities-changing-world	a			                 Visit               
https://harvard.edu/president/speech/2012/universities-changing-world	a			                 Give               
https://harvard.edu/president/speech/2012/universities-changing-world	a			Faculty
https://harvard.edu/president/speech/2012/universities-changing-world	a			Staff
https://harvard.edu/president/speech/2012/universities-changing-world	a			Students
https://harvard.edu/president/speech/2012/universities-changing-world	a			Alumni
https://harvard.edu/president/speech/2012/universities-changing-world	a			Parents
https://harvard.edu/president/speech/2012/universities-changing-world	a			Visitors
https://harvard.edu/president/speech/2012/universities-changing-world	a			Media
https://harvard.edu/president/speech/2012/universities-changing-world	span			       Search:     
https://harvard.edu/president/speech/2012/universities-changing-world	span			       Open Search     
https://harvard.edu/president/speech/2012/universities-changing-world	span			About Harvard
https://harvard.edu/president/speech/2012/universities-changing-world	span			History of the Presidency
https://harvard.edu/president/speech/2012/universities-changing-world	span			Drew Gilpin Faust
https://harvard.edu/president/speech/2012/universities-changing-world	h1			     History of Presidency    
https://harvard.edu/president/speech/2012/universities-changing-world	h2			Universities in a Changing World
https://harvard.edu/president/speech/2012/universities-changing-world	time			January 19, 2012
https://harvard.edu/president/speech/2012/universities-changing-world	p			Drew Gilpin Faust
https://harvard.edu/president/speech/2012/universities-changing-world	p			               Asia Society at the Taj Mahal Palace Hotel, Mumbai, India            
https://harvard.edu/president/speech/2012/universities-changing-world	em			As prepared for delivery
https://harvard.edu/president/speech/2012/universities-changing-world	p		b	Thank you, Nita Ambani, and thank you, Sunil Mehta, for welcoming me today. And so many thanks to the Asia Society and to Bunty Chand
https://harvard.edu/president/speech/2012/universities-changing-world	p			for organizing this marvelous opportunity to have this conversation with all of you. I look forward to discussing the future of higher education and innovation with such a distinguished group. This is my first trip to India, and I cannot tell you how excited I am to be here – in a country that is so diverse, that is so energized, and that is so vital in shaping the world of the 21st century.
https://harvard.edu/president/speech/2012/universities-changing-world	p			 As I explore the streets of Mumbai, perhaps I can best describe my reactions by borrowing words of an India luminary, who said: I feel truly in the midst of “a buzzing, humming, living entity going through a most remarkable time, like no other.” I am quoting not a politician, or a business leader, or a literary figure, but in fact the great batsman Rahul Dravid in a speech that he gave last month. He was describing not the economy or any other dimension of public life, but rather India’s beloved sport of cricket. While I cannot claim to understand the game, even after four hours of watching the movie “Lagaan,” I am struck by the capacity of sports to express the spirit of a society. Now I know many of you right now are a little dispirited about the last few matches. But, as an experienced Boston Red Sox fan, let me assure you that this will pass. You will be, I am confident, removed from mourning to exhilaration in short order.
https://harvard.edu/president/speech/2012/universities-changing-world	p			As Dravid put it, Indian cricket “in this last decade … [has brought together] more than ever before ... people from vastly different cultures, who speak different languages, follow different religions, [and] belong to all classes of society…” In the team locker room, he counted 15 languages being spoken. The game has embodied and represented India’s rising prominence and confidence, certainly in your World Cup victory last spring. The game has represented as well the creative and often difficult tension between tradition and innovation. And, as Dravid described so well, it has represented the productive drive of India’s remarkable democracy and diversity.
https://harvard.edu/president/speech/2012/universities-changing-world	p			As a historian of the American South, I have spent much of my life thinking about a complex heritage of racial and ethnic communities and the legacies of a colonial past in the southern United States, and I am awestruck by India’s diversity and how that succeeds. The United States and India are both extraordinary pluralistic democracies, the world’s oldest and the world’s largest, and I am also struck by the ideals that we share.
https://harvard.edu/president/speech/2012/universities-changing-world	p			We value innovation, imagination, and the entrepreneurial spirit.
https://harvard.edu/president/speech/2012/universities-changing-world	p			We value unity in diversity.
https://harvard.edu/president/speech/2012/universities-changing-world	p			We value the education of our children as the foundation of civic life and opportunity.
https://harvard.edu/president/speech/2012/universities-changing-world	p			We also face many of the same challenges in realizing these ideals.
https://harvard.edu/president/speech/2012/universities-changing-world	p			One of these challenges, in which I know the Ambanis and others of you are deeply involved, is the quality and reach of primary and secondary education, the foundation not only of a successful civil society and a growing middle class, but the basis of talent that universities depend on. Pre-university education is an area where both of our countries have a lot of work to do.
