url	parent	ps	ns	text
https://harvard.edu/visitors/tours/	a			       Jump to main content     
https://harvard.edu/visitors/tours/	a			       Jump to search     
https://harvard.edu/visitors/tours/	a			       Jump to the footer     
https://harvard.edu/visitors/tours/	span			         Harvard University       
https://harvard.edu/visitors/tours/	a			     Menu   
https://harvard.edu/visitors/tours/	a		span	                 About                 
https://harvard.edu/visitors/tours/	span			                   Harvard                 
https://harvard.edu/visitors/tours/	a			Harvard at a Glance
https://harvard.edu/visitors/tours/	a			Harvard's President
https://harvard.edu/visitors/tours/	a			Harvard's Leadership
https://harvard.edu/visitors/tours/	a			Academic Experience
https://harvard.edu/visitors/tours/	a			Administrative Offices
https://harvard.edu/visitors/tours/	a			Directories
https://harvard.edu/visitors/tours/	a			Harvard in the Community
https://harvard.edu/visitors/tours/	a			News
https://harvard.edu/visitors/tours/	a		span	                 Admissions                 
https://harvard.edu/visitors/tours/	span			                   & Aid                 
https://harvard.edu/visitors/tours/	a			Undergraduate
https://harvard.edu/visitors/tours/	a			Graduate & Professional Schools
https://harvard.edu/visitors/tours/	a			Continuing Education
https://harvard.edu/visitors/tours/	a			Summer Programs
https://harvard.edu/visitors/tours/	a			                 Schools               
https://harvard.edu/visitors/tours/	a			Business
https://harvard.edu/visitors/tours/	a			College
https://harvard.edu/visitors/tours/	a			Continuing Education
https://harvard.edu/visitors/tours/	a			Dental
https://harvard.edu/visitors/tours/	a			Design
https://harvard.edu/visitors/tours/	a			Divinity
https://harvard.edu/visitors/tours/	a			Education
https://harvard.edu/visitors/tours/	a			Engineering
https://harvard.edu/visitors/tours/	a			Faculty of Arts & Sciences
https://harvard.edu/visitors/tours/	a			Government
https://harvard.edu/visitors/tours/	a			Graduate School
https://harvard.edu/visitors/tours/	a			Law
https://harvard.edu/visitors/tours/	a			Medical
https://harvard.edu/visitors/tours/	a			Public Health
https://harvard.edu/visitors/tours/	a			Radcliffe Institute
https://harvard.edu/visitors/tours/	a			                 On Campus               
https://harvard.edu/visitors/tours/	a			Arts and Humanities
https://harvard.edu/visitors/tours/	a			Athletics
https://harvard.edu/visitors/tours/	a			Commencement
https://harvard.edu/visitors/tours/	a			Employment
https://harvard.edu/visitors/tours/	a			Events
https://harvard.edu/visitors/tours/	a			HarvardX
https://harvard.edu/visitors/tours/	a			Library
https://harvard.edu/visitors/tours/	a			Museums
https://harvard.edu/visitors/tours/	a			Research
https://harvard.edu/visitors/tours/	a			Science
https://harvard.edu/visitors/tours/	a			Visit Harvard
https://harvard.edu/visitors/tours/	a			                 Gazette News               
https://harvard.edu/visitors/tours/	a			                 Events               
https://harvard.edu/visitors/tours/	a			                 Visit               
https://harvard.edu/visitors/tours/	a			                 Give               
https://harvard.edu/visitors/tours/	a			Faculty
https://harvard.edu/visitors/tours/	a			Staff
https://harvard.edu/visitors/tours/	a			Students
https://harvard.edu/visitors/tours/	a			Alumni
https://harvard.edu/visitors/tours/	a			Parents
https://harvard.edu/visitors/tours/	a			Visitors
https://harvard.edu/visitors/tours/	a			Media
https://harvard.edu/visitors/tours/	span			       Search:     
https://harvard.edu/visitors/tours/	span			       Open Search     
https://harvard.edu/visitors/tours/	span			On Campus
https://harvard.edu/visitors/tours/	span			Visit Harvard
https://harvard.edu/visitors/tours/	h1			           Tours        
https://harvard.edu/visitors/tours/	a			Visit Harvard
https://harvard.edu/visitors/tours/	a			Tours
https://harvard.edu/visitors/tours/	a			Request Private Tour
https://harvard.edu/visitors/tours/	a			Frequently Asked Questions
https://harvard.edu/visitors/tours/	a			Calendar of Events
https://harvard.edu/visitors/tours/	a			Museums on Campus
https://harvard.edu/visitors/tours/	a			Directions
https://harvard.edu/visitors/tours/	a			Resources
https://harvard.edu/visitors/tours/	h2			Official Historical Tour of Harvard
https://harvard.edu/visitors/tours/	h3			Student-Led Public Walking Tour
https://harvard.edu/visitors/tours/	span			The Official Harvard tour departs from the Harvard University Visitor Center, in the Smith Campus Center. The tour is student-led and comprises an outdoor walk (please dress appropriately) through Harvard Yard, providing a history of the university, general information, and a unique view on the student’s individual experience. 
https://harvard.edu/visitors/tours/	p		a	Please check our updated tour times on the 
https://harvard.edu/visitors/tours/	a			calendar
https://harvard.edu/visitors/tours/	p			. In the event of inclement weather, please check the calendar, or call regarding a scheduled tour time. 
https://harvard.edu/visitors/tours/	p			The tour is around one hour long, and completely free of charge. Tour registration is done in person on a first-come, first-served basis. Tours are capped at 35 attendees. Currently we are only able to accommodate groups of up-to 14 people on our free, public tour. If you have a group of 15 or more, reservations are required (please see below).
https://harvard.edu/visitors/tours/	h3			Group Tours and Reservations
https://harvard.edu/visitors/tours/	p		a	Please review the 
https://harvard.edu/visitors/tours/	a			updated tour fee information.
https://harvard.edu/visitors/tours/	p			Reservations are required for tours of 15 or more people, with an absolute maximum of 80 people. We request 2 weeks notice to schedule a tour. Please note, we cannot accommodate groups that arrive without a reservation.
https://harvard.edu/visitors/tours/	a			Submit a group tour reservation request
https://harvard.edu/visitors/tours/	h3			A Self-Guided Walking Tour of Harvard Yard
https://harvard.edu/visitors/tours/	p			If you are interested in touring the campus on your own, you may want a self-guided walking tour. These tour pamphlets—offered in English, Spanish, Chinese, French, German, Italian, Korean, Japanese, and Russian—can be purchased from our office for $3.00. You can also purchase a Harvard Campus Map from our office for $3.00.
https://harvard.edu/visitors/tours/	h3			Western Ave. Arts Walk Tours
https://harvard.edu/visitors/tours/	p			The Western Ave. Arts Walk tour departs from the Harvard Ed Portal, located at 224 Western Avenue, Allston, MA. The tour is student-led and comprises an outdoor walk along Western Avenue where attendees will learn about Allston's public art. Pieces include both permanent and temporary works of art on view at the Harvard Ed Portal, the Harvard Business School, as well as works affiliated with Zone 3.
https://harvard.edu/visitors/tours/	p			The tour is one hour long. Please wear comfortable shoes.
https://harvard.edu/visitors/tours/	h2			Prospective Student Tours
https://harvard.edu/visitors/tours/	h3			Harvard College Admissions Information Session & Tour
https://harvard.edu/visitors/tours/	p		a	Please note: The Harvard College Admissions & Financial Aid Office offers another guided tour of the undergraduate campus. This student-led tour of Harvard Yard is designed for prospective students and those visitors wishing to learn more about student life. For more information on these tours, visit the 
https://harvard.edu/visitors/tours/	a			Office of Admissions
https://harvard.edu/visitors/tours/	h3			Graduate Admissions Tours
https://harvard.edu/visitors/tours/	p			Many of Harvard's graduate and professional schools have tours of their individual campuses. The following schools have tours for visitors:
https://harvard.edu/visitors/tours/	a			Harvard Business School
https://harvard.edu/visitors/tours/	a			Harvard Divinity School
https://harvard.edu/visitors/tours/	a			Harvard Graduate School of Design
https://harvard.edu/visitors/tours/	a			Harvard John A. Paulson School of Engineering and Applied Sciences
https://harvard.edu/visitors/tours/	a			Harvard Medical School
https://harvard.edu/visitors/tours/	a			Harvard T.H. Chan School of Public Health
https://harvard.edu/visitors/tours/	h2			       Navigate campus    
https://harvard.edu/visitors/tours/	a		span	     View the map    
https://harvard.edu/visitors/tours/	span			     Navigate campus    
https://harvard.edu/visitors/tours/	h2			       Explore Harvard from home    
https://harvard.edu/visitors/tours/	a		span	    Take virtual tour    
https://harvard.edu/visitors/tours/	span			     Explore Harvard from home    
https://harvard.edu/visitors/tours/	a			   Jump to Top 
https://harvard.edu/visitors/tours/	h1			           Website         
https://harvard.edu/visitors/tours/	a			Accessibility
https://harvard.edu/visitors/tours/	a			Sitemap
https://harvard.edu/visitors/tours/	h2			           Get in Touch         
https://harvard.edu/visitors/tours/	a			Contact Harvard
https://harvard.edu/visitors/tours/	a			Maps & Directions
https://harvard.edu/visitors/tours/	a			Jobs
https://harvard.edu/visitors/tours/	a			Social Media
https://harvard.edu/visitors/tours/	h3			           Security & Brand         
https://harvard.edu/visitors/tours/	a			Privacy Statement
https://harvard.edu/visitors/tours/	a			Report Copyright Infringement
https://harvard.edu/visitors/tours/	a			Report Security Issue
https://harvard.edu/visitors/tours/	a			Trademark Notice
https://harvard.edu/visitors/tours/	h4			           Social Media & other Application Links         
https://harvard.edu/visitors/tours/	span			                   Facebook                 
https://harvard.edu/visitors/tours/	span			                   Twitter                 
