url	parent	ps	ns	text
https://ucr.edu	h2			Audience Menu Left Side
https://ucr.edu	a			A to Z Listing
https://ucr.edu	a			Campus Map
https://ucr.edu	a			Find People
https://ucr.edu	a			News
https://ucr.edu	label			Search for:
https://ucr.edu	button			Search
https://ucr.edu	h2			Quick Links
https://ucr.edu	a			Visit
https://ucr.edu	a			Events
https://ucr.edu	a			Make a Gift
https://ucr.edu	a			Jobs
https://ucr.edu	a			Library
https://ucr.edu	a			Parking and Transportation
https://ucr.edu	a			Apply
https://ucr.edu	span			UC Riverside
https://ucr.edu	a			 University of California, Riverside 
https://ucr.edu	p			University of California, Riverside
https://ucr.edu	a			About
https://ucr.edu	span			Column 1
https://ucr.edu	a			About Overview
https://ucr.edu	a			Ranks and Facts
https://ucr.edu	span			Column 2
https://ucr.edu	a			Impacts
https://ucr.edu	a			History
https://ucr.edu	span			Column 3
https://ucr.edu	a			Visitors
https://ucr.edu	a			International
https://ucr.edu	span			Find Information For...
https://ucr.edu	a			Current Students
https://ucr.edu	a			Prospective Students
https://ucr.edu	a			Faculty
https://ucr.edu	a			Staff
https://ucr.edu	a			Parents
https://ucr.edu	a			Alumni
https://ucr.edu	a			Academics
https://ucr.edu	a			Academics Overview
https://ucr.edu	a			Undergraduate Majors
https://ucr.edu	a			Graduate Programs
https://ucr.edu	a			Colleges and Schools
https://ucr.edu	a			UCR Extension
https://ucr.edu	a			Admissions
https://ucr.edu	a			Admissions Overview
https://ucr.edu	a			Undergraduate Admissions
https://ucr.edu	a			Graduate Admissions
https://ucr.edu	a			International Admissions
https://ucr.edu	a			Transfer Admissions
https://ucr.edu	a			Cost
https://ucr.edu	a			Veteran Admissions
https://ucr.edu	a			Research
https://ucr.edu	a			Research Overview
https://ucr.edu	a			Undergraduate Research
https://ucr.edu	a			Graduate Research
https://ucr.edu	a			Centers and Facilities
https://ucr.edu	a			Campus Life
https://ucr.edu	a			Campus Life Overview
https://ucr.edu	a			Map
https://ucr.edu	a			Arts and Culture
https://ucr.edu	a			Athletics and Recreation
https://ucr.edu	a			Health and Safety
https://ucr.edu	a			Botanic Gardens
https://ucr.edu	a			Housing
https://ucr.edu	a			Dining
https://ucr.edu	a			About Riverside
https://ucr.edu	h2			Audience Menu Left Side Mobile
https://ucr.edu	h2			Quick Links Mobile
https://ucr.edu	h2			Main navigation (Mobile)
https://ucr.edu	h1			A Dynamic Decade
https://ucr.edu	a			A decade of student success and accolades
https://ucr.edu	h2			Breadcrumb
https://ucr.edu	h2			Trending News
https://ucr.edu	span			Jan
https://ucr.edu	div	div		First Latina film director included in National Film Registry is a UCR professor
https://ucr.edu	div	div		‘Real Women Have Curves,’ directed by Patricia Cardoso, is among the newly added films to the Library of Congress’ National Film Registry 
https://ucr.edu	a			Read More
https://ucr.edu	div	div		Scientists develop new method to detect oxygen on exoplanets
https://ucr.edu	div	div		Technique could speed search for life in outer space 
https://ucr.edu	span			Dec
https://ucr.edu	div	div		Divided GOP and Dems stand, united they worry
https://ucr.edu	div	div		The 2020 presidential election promises to find common ground among Democratic and Republican voters, a UC Riverside analysis of the last two national elections finds. They're…
https://ucr.edu	div	div		Riverside makes Inc.’s top 50 Surge Cities list
https://ucr.edu	div	div		UC Riverside drives the fast pace of entrepreneurship 
https://ucr.edu	div	div		UC Riverside biotech startup will mass-produce engineered cells
https://ucr.edu	div	div		The licensed technology is a tipping point for emerging lifesaving therapies 
https://ucr.edu	div	div		She sees dead people
https://ucr.edu	div	div		History doctoral student Alyse Yeargan studies photographs of the deceased to understand how and why we grieve 
https://ucr.edu	div	div		Making higher-energy light to fight cancer
https://ucr.edu	div	div		Researchers use nontoxic silicon nanocrystals to convert low-energy photons into high-energy ones, bringing scientists closer to developing photodynamic treatments for cancer 
https://ucr.edu	span			Nov
https://ucr.edu	div	div		UCR scientists rank among world’s most influential scholars
https://ucr.edu	div	div		These researchers' papers are the top 1% for citations 
https://ucr.edu	button			Previous
https://ucr.edu	button	button		Next
https://ucr.edu	a			More News
https://ucr.edu	h2			Facts and Impacts
https://ucr.edu	div			         No. 1             
https://ucr.edu	div			         University for social mobility, U.S. News 2020             
https://ucr.edu	div			         Top 10              
https://ucr.edu	div			         Colleges that pay off, CNBC             
https://ucr.edu	div			         Top 12             
https://ucr.edu	div			         University in the U.S., Forbes              
https://ucr.edu	h2			Events and Happenings
https://ucr.edu	a			SEE EVENTS CALENDAR
https://ucr.edu	h2			Featured Video
https://ucr.edu	div			         Best moments of the 2010s at UC Riverside             
https://ucr.edu	p			This has been a decade during which UCR has become acknowledged as a national leader for innovation in student success, and even called a model for how higher education may reinvent itself.
https://ucr.edu	p	p		Gifts to UC Riverside enrich our ability to shape the lives of future generations of leaders and provide a robust teaching and learning experience. We are Living the Promise – join us!
https://ucr.edu	a			Give to UCR
https://ucr.edu	p			Follow UCR
https://ucr.edu	a			Facebook
https://ucr.edu	a			Youtube
https://ucr.edu	a			Instagram
https://ucr.edu	a			Twitter
https://ucr.edu	a			LinkedIn
https://ucr.edu	a			Give Now
https://ucr.edu	a			International Students
https://ucr.edu	a			Take a Virtual Tour
https://ucr.edu	h2			Additional Info
https://ucr.edu	div			         Students             
https://ucr.edu	a			Orientation
https://ucr.edu	a			Student Resources
https://ucr.edu	a			Graduate Students
https://ucr.edu	a			Internship and Career Center
https://ucr.edu	div			         Alumni             
https://ucr.edu	a			UCR Alumni Association
https://ucr.edu	a			Career Connections
https://ucr.edu	a			Member Benefits
https://ucr.edu	a			UCR Parents Association
